	SRR6468503	SRR6468521	SRR6468522	SRR6468523	SRR6468525	SRR6468526	SRR6468527	SRR6468528	SRR6468534	SRR6468541	SRR6468542	SRR6468543	SRR6468544	SRR6468545	SRR6468546	SRR6468547	SRR6468548	SRR6468549	SRR6468550	SRR6468551	SRR6468552	SRR6468559	SRR6468560	SRR6468561	SRR6468563	SRR6468567	SRR6468568	SRR6468571	SRR6468572	SRR6468573	SRR6468574	SRR6468575	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468581	SRR6468590	SRR6468591	SRR6468592	SRR6468595	SRR6468596	SRR6468597	SRR6468598	SRR6468599	SRR6468603	SRR6468604	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468612	SRR6468613	SRR6468614	SRR6468617	SRR6468618	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468626	SRR6468628	SRR6468629	SRR6468638	SRR6468639	SRR6468640	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468653	SRR6468655	SRR6468656	SRR6468657	SRR6468660	SRR6468661	SRR6468665	SRR6468671	SRR6468672	SRR6468673	SRR6468674	SRR6468676	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468685	SRR6468686	SRR6468687	SRR6468689	SRR6468692	SRR6468694	SRR6468695	SRR6468700	SRR6468706	SRR6468709
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000004473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__MGYG000004841	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	12	0	0	0	19	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	13	17	0	0	0	0	0	0	0	0	0	0	28	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp002102825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp002103105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp003258735	29	0	0	0	307	0	0	0	0	84	0	0	12	51	114	0	40	0	0	0	0	0	19	0	0	0	0	0	0	36	0	0	0	0	136	0	67	0	0	0	0	0	40	0	123	0	0	0	154	15	0	0	36	53	0	0	0	0	191	0	12	0	0	34	0	0	0	0	26	0	0	0	35	0	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	124	0	0	0	27	644	0	0	0	0	0	44	0	0	24
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp004558955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp900551965	0	0	691	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1333	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	177	76	153	0	0	0	0	0	0	0	0	14	0	59	0	0	0	0	0	177	0	0	0	132	0	0	0	0	10	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag111|s__Zag111_sp900555325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000000422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000000572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1588	0	0	0	0	38	0	0	0	25	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000001678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__MGYG000001899	0	0	119	0	281	0	0	24	25	0	0	49	0	0	157	0	0	0	0	40	0	21	46	0	0	50	0	0	0	71	33	18	53	0	47	14	44	0	0	0	0	0	39	0	10	0	16	86	90	0	0	0	0	0	65	33	0	0	0	10	18	0	0	0	0	0	94	0	56	0	0	0	4331	47	0	0	21	25	20	0	0	0	0	0	28	16	0	12	17	28	44	0	0	0	260	0	0	84	0	0	208	0	0	29
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000433095	0	0	0	66	0	0	0	19	0	0	424	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	130	0	0	0	0	0	0	0	0	0	0	120	0	62	0	17	29	15	0	0	0	0	0	0	42	0	0	0	36	0	63	92	16	0	0	0	0	0	0	0	0	10	0	10	20	0	0	1601	0	0	101	0	0	0	0	0	0	0	0	0	0	22	0	0	0	10	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000437435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp000438175	194	0	0	0	0	0	56	0	26	180	16	0	0	0	0	0	1732	16	0	0	29	329	0	0	0	0	0	0	0	0	0	11	1695	178	89	0	151	0	0	0	0	0	229	0	15	0	0	37	0	0	0	30	12	1108	0	0	0	0	173	0	0	0	105	16	0	0	0	0	0	0	19	0	11018	18	26	102	0	151	22	0	0	0	15	0	463	0	0	0	20	0	0	41	0	0	96	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp001765415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp001917115	0	0	0	0	15	0	0	0	0	0	27	0	0	0	0	13	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	18872	0	0	0	0	0	0	0	44	0	0	0	17	0	14	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900551675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900555175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900556295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900752845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	427	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900767135	83	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	30	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	28	0	0	0	62	0	0	0	0	0	0	26	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1831	0	0	0	264	0	0	127	0	0	0	0	0	46	0	0	0	0	0	1857	0	0	0	0	50	0	0	21	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900769355	628	0	87	120	171	16	0	26	129	13	23	165	168	69	0	409	453	39	278	14	0	168	1256	249	0	59	0	17	0	202	446	0	405	136	699	0	11	0	0	75	0	0	1076	162	223	39	1168	40	57	408	0	0	14	720	80	123	0	0	0	65	102	21	81	333	0	0	31	0	841	80	26	19	1591	143	90	1208	73	518	0	22	40	340	185	0	0	0	0	529	0	0	638	155	765	344	83	334	144	32	0	0	81	0	253	168
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__Gastranaerophilaceae|g__Zag1|s__Zag1_sp900769645	17	0	14	0	0	0	122	14	0	65	65	17	35	0	25	41	12	0	196	0	0	0	0	0	0	0	93	0	0	0	10	43	0	59	14	0	0	0	0	0	0	0	18	10	41	0	0	0	151	0	0	0	0	0	2091	99	0	0	0	0	109	0	33	73	0	0	283	75	109	0	0	0	0	0	21	16	45	0	0	33	0	14	24	0	13	0	0	139	0	0	0	42	0	0	27	1108	1889	0	0	28	13	0	11	39
k__Bacteria|p__Cyanobacteria|c__Vampirovibrionia|o__Gastranaerophilales|f__RUG14156|g__MGYG000001875|s__MGYG000001875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp900550745	41	0	97	11	720	21	0	45	0	60	50	0	45	0	51	27	12	14	0	0	15	0	0	0	0	79	0	0	18	0	14	0	12	19	12	0	0	0	0	0	0	290	11	24	13	0	56	185	1180	0	1188	82	9310	36	36577	115	0	11	1063	0	1483	0	395	28	0	0	149	0	17	56	425	244	30	585	269	237	14	10	5381	0	20	250	0	2417	447	0	0	0	50	773	14	94	307	0	20	759	1142	135	0	764	18	0	51	211
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp900553145	73	0	530	0	2649	106	0	122	0	32	128	0	52	0	176	51	0	24	0	0	39	0	0	0	0	33	0	0	0	0	27	0	0	39	0	0	0	0	0	0	0	195	0	75	27	0	52	1251	866	0	902	214	7522	68	375	74	0	23	4026	0	25	0	126	172	0	0	47	0	11	93	1292	219	87	331	492	426	11	0	3644	0	231	415	0	9344	2603	0	0	0	114	2402	21	442	162	0	0	207	425	665	0	461	0	0	188	53
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_sp902373525	1081	0	8117	0	32849	0	0	2865	0	476	1997	0	0	0	1739	0	517	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3261	0	1023	548	0	3516	15018	15719	0	11458	3833	148539	1360	11715	3139	0	0	51689	0	470	0	5723	2525	0	0	1624	0	0	1656	11858	4930	2147	6711	8333	16969	294	0	83366	0	1785	9442	0	196575	30127	0	0	0	2669	24824	918	7128	4002	0	0	9235	15506	10719	0	10919	0	0	5066	1449
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	4004	25	35355	44	148219	4174	12	13467	0	1102	9071	203	6419	0	6858	2234	2058	1356	264	0	1847	31	33	22	21	1633	17	15	109	64	1002	17	29	1545	881	14	10	17	42	19	15	6541	0	4399	2524	21	14355	68080	30974	18	22263	21540	286103	6373	3046	7018	29	1055	241934	0	59	36	9614	10481	92	15	3047	17	488	6080	49588	16969	9483	13147	37056	1257	1281	623	164816	21	7383	36504	0	879794	129114	15	11	323	10672	115681	3971	27846	7095	0	97	15841	26705	45948	140	18719	130	103	19781	145
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__MGYG000001832	11	0	35	73	31	0	0	28	0	95	0	22	31	46	20	0	26	0	0	0	0	16	0	0	0	18	0	0	0	0	0	0	2506	0	55	62	0	0	0	0	0	0	43	12	22	0	10	30	23	0	21	23	325	0	43	39	0	0	51	113	0	30	0	0	0	0	0	0	0	13	33	13	0	36	90	132	10	0	157	0	60	23	92	372	22	0	0	32	14	11	0	47	19	0	0	33	38	32	0	32	0	0	45	51511
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__MGYG000002706	11	0	21	230	1449	15	0	0	0	32	201	25	38	0	70	18	0	0	0	0	0	15	0	13	0	0	0	0	0	13	13	0	16	31	0	0	0	12	0	0	0	97	14	80	12	0	33	43	419	11	27	15	285	57	105	59	0	12	13	0	0	87	22	21	0	0	0	0	0	15	274	68	17	194	44	144	0	11	125	0	474	238	0	82332	365	0	0	0	13	734	10	42	95	0	0	9973	2899	0	0	43	78	0	0	133
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0	0	0	0	0	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans_A	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12973	0	0	2582	10873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_legallii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	18	0	0	0	0	0	77	0	0	0	0	0	0	0	0	3174	0	0	0	0	22009	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	944	0	0	0	0	926	0	0	0	0	0	0	0	0	0	20	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10482	0	0	0	0	0	386	8773	0	0	66	0	0	0	0	0	0	0	0	0	570	0	0	0	29	0	0	0	0	0	0	0	0	10314	0	10	0	0	0	0	0	0	0	2309	0	0	0	0	0	0	0	0	0	0	0	13
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger_A	179	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1785	0	0	0	0	0	94	1516	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	1827	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp002159665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900319575	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	10	0	0	12	0	15	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	20	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900540515	0	0	11	0	57	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	14	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	37	27	0	0	0	12	18	0	0	12	0	0	17	0	0	0	0	88	0	0	66	345	0	0	0	18	0	31	11	42	0	0	0	17	0	0	0	0	0	0	0	0	0	10	0	0	0	0	32	82
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900546145	31	0	0	0	13	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	35	0	0	0	0	0	0	0	0	0	11	0	0	73	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	19	0	0	0	35	0	0	0	0	0	0	0	13
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900547595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000002687	326	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3592	0	0	0	0	0	172	2262	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	13	0	0	0	0	0	0	0	0	3610	0	31	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004670	0	0	0	14	85	0	29	0	0	0	15	0	0	0	0	0	11	18	0	0	0	27	0	0	0	10	0	0	0	0	0	0	0	19	0	0	10	19	0	0	0	0	0	0	20	15	0	0	19	0	43	49	28	0	11	0	0	0	0	0	0	42	0	13	364	0	0	0	0	0	19	0	0	0	0	23	0	0	101	64	14	0	0	0	29	0	0	0	10	66	0	17	13	14	11	0	0	0	0	0	67	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	17
