	SRR1778456	SRR341581	SRR341582	SRR341584	SRR341590	SRR341591	SRR341592	SRR341594	SRR341595	SRR341597	SRR341598	SRR341607	SRR341608	SRR341609	SRR341610	SRR341611	SRR341613	SRR341614	SRR341618	SRR341619	SRR341625	SRR341627	SRR341633	SRR341635	SRR341636	SRR341637	SRR341642	SRR341644	SRR341645	SRR341646	SRR341647	SRR341648	SRR341649	SRR341651	SRR341652	SRR341658	SRR341660	SRR341662	SRR341663	SRR341664	SRR341669	SRR341673	SRR341677	SRR341678	SRR341679	SRR341680	SRR341683	SRR341685	SRR341687	SRR341688	SRR341689	SRR341690	SRR341693	SRR341694	SRR341699	SRR341700	SRR341706	SRR341707	SRR341708	SRR341710	SRR341712	SRR341713	SRR341714	SRR341715	SRR341716	SRR341717	SRR341718	SRR341719	SRR341720	SRR341724	SRR341725	SRR413615	SRR413626	SRR413632	SRR413633	SRR413634	SRR413668	SRR413669	SRR413670	SRR413671	SRR413672	SRR413673	SRR413680	SRR413714	SRR413721	SRR413728	SRR413738	SRR413742	SRR413746	SRR413754	SRR413756	SRR413768	SRR413769	SRR413772
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp003150315	99	0	0	0	160	41	0	326	0	109	213	0	39	24	284	0	0	29	434	10409	205	0	0	136	0	0	0	0	790	0	61	0	0	121	0	52	33	259	0	991	0	34	0	0	213	46	0	57	653	448	0	311	882	5928	30	0	225	318	380	33	25	0	13	34	0	105	308	0	0	0	172	0	342	57	46	643	30	12	0	2555	159	1342	0	15721	0	229	0	0	0	0	0	330	427	818
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp900550635	25	14	52	17	22	34	27	0	0	12	33	0	0	0	13	34	7898	70	12	0	27	43	18	13	66	26	12	0	0	189	16	0	23	14	0	36245	0	21	62	93	32	0	16	0	35	0	0	12	92	711	58	0	318	15	37	13	77	30	4208	40	0	19	0	0	180	36	6565	64	0	0	33	52	61	0	0	13	0	0	0	0	0	45	62	112	34	91	83	31	12	30	0	0	23	230
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp900555645	250	0	17	0	0	22	45	0	87	0	0	0	0	0	0	109	16	0	18	0	10	0	0	480	0	23	0	0	14	59	12	18	0	0	0	16	0	150	0	0	0	0	0	0	0	0	0	0	24358	0	0	157	0	15	0	0	68	23	138	13	0	0	0	0	43	0	118	0	0	0	0	41	0	17	0	15	0	28	0	0	0	20	0	15	0	0	0	76	0	0	0	0	12	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	3914	143	52	139	120	12662	429	498	127502	68	61493	15366	1984	114	0	54	163597	35079	7385	307	11062	0	0	129742	0	84816	61	0	19663	90	173257	245937	64	65	0	22571	54	16974	35	872	24410	0	19	5448	45776	173	231	0	76822	6507	39	0	41	797	17	358	6541	15	41	1503	0	0	33	2750	74238	16	44	302	27398	0	18	623	269	24772	193	35917	59	0	8603	118	44549	196	0	86327	40	6172	0	16953	254	7296	131	0	123807	162
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp002159975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	17	0	0	0	11	0	0	59	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp003150885	32	25	51	50	0	16	0	15	53	0	89	89	22	0	56	56	29	68	12	0	25	23	20	19	46	23	13	14	17	10	0	0	32	76	0	11	27	55	97	18	56	0	86	0	0	0	0	22	87	21	31	0	97	0	11	0	21	30	47	0	14	22	0	0	88	0	63	42	0	0	0	29	0	0	0	16	0	0	91	0	0	25	35	0	14	121	84	0	41	16	0	0	0	102
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900538555	0	0	0	147	16	25	0	0	97	0	27	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	25	0	22	38	0	0	22	132	0	78	0	0	0	0	67	0	0	0	0	28	0	0	0	0	46	0	27	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	34	0	10	0	0	44	0	0	12	0	0	52	35
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900538705	0	0	0	24	0	0	0	0	635	0	0	0	0	0	0	0	47	0	0	0	0	59	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	28	0	0	0	21	0	0	0	67
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900542255	0	0	0	65	33	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_fastidiosus	19558	0	76	71	444	1130	1323	63	368	596	59	0	0	463	247	34503	37	132452	197	49	1347	247	131	1783	21	37586	38	37	120	101	33	539	727	688	150	143845	0	1170	17339	80	1990	166	10	16	664	0	0	14545	751793	18	20	136	13	570	7374	1070	330	0	87	3563	0	0	59	107	8150	77	60	1263	26	56	629	332	32	300	0	630	16	0	0	51	22	69	6494	295174	1512	519	354	2682	733	87	319	0	2795	1132348
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_secundus	414	19	74	76	17	67	49	16	1124	0	40	0	39	23	226	39	1329	151	171	31	15	1042	85	2249	133	45	1617	0	65	0	4042	9581	339	304	20	18837	0	2365	46	57	17	0	515	480	13687	0	0	14	104	51	46	31	0	14	0	1687	0	20	76	74	0	10	16	22	20254	127	64	1914	1258	0	14	25486	29	0	10	85	0	0	142	793	0	1796	23	245	10	239	0	322	11	2098	0	0	1241	13
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_sp900545915	1221	92	10	93	328	462	731	1381	49	21	49	39	62	67	71	1246	55	4841	80	78	219	37	1182	274	32	1304	178	0	48	98	150	441	19	0	32	4285	0	186	525	0	145	106	0	11	551	0	92	497	24904	79	36	0	22	0	275	71	46	231	257	350	0	0	59	40	1118	206	138	65	0	19	91	161	11	80	15	1640	26	0	0	12	47	158	562	9562	0	680	0	315	77	1148	0	0	253	37397
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__MGYG000004443|s__MGYG000004443	42	0	0	0	29	36	0	0	0	0	10	0	0	23	0	0	0	18	20	0	0	10	0	10	0	23	0	0	20	27	0	0	0	0	15	0	0	16	0	0	0	0	17	0	0	0	0	13	15	118	0	0	19	0	0	0	0	0	147	0	0	0	0	0	0	0	74	0	45	0	0	71	0	16	0	28	0	48	0	0	0	19	17	13	0	0	16	0	22	32	0	0	0	24
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_capnocytophagoides	0	0	16	0	121	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	34	0	0	0	46	0	0	0	0	15	15	0	0	0	78	0	87	0	12	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	10	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_gadei	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_mossii	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_sp900556485	0	0	0	0	0	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	34	0	0	0	0	0	0	0	0	15	0	13	0	0	0	0	0	31	0	0	0	0	0	0	0	32	0	0	0	14	0	0	0	0	0	0	0	101	0	0	29	0	0	0	0	0	0	0	14	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__MGYG000003338	12	15	25	0	0	0	0	0	0	0	27	14	15	0	0	0	0	0	0	0	25	0	25	10	28	0	0	26	0	17	0	0	11	0	0	13	10	0	0	10	0	0	0	0	11	206	0	15	0	0	0	27	0	0	0	83	0	10	0	18	0	0	280	0	0	0	0	0	0	0	84	0	82	0	24	538	0	1122	155	0	0	12	19	0	77	0	59	0	55	85	1075	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Fermentimonas|s__Fermentimonas_caenicola	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp002633315	0	0	10	19	11	0	0	0	22	0	0	0	0	0	0	0	19	20	0	0	0	0	0	11	0	0	0	0	0	1069	0	0	22	0	21	38	0	0	0	0	11	0	0	0	0	0	29	13	0	104	0	0	0	0	11	0	0	0	30	0	0	0	0	0	0	0	29	0	0	0	0	720	58	0	0	11	0	4083	55	0	0	0	13	0	0	70	0	0	0	1341	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp900542475	0	0	0	13	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	26
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp900769945	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	14	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	33	0	0	0	34	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp900771045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	0	0	0	0	0	16	0	0	0	0	0	0	11	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_faecalis	114	10	926	118	233	1214	0	5860	10876	0	126	0	108	302	147	81	339	719	590	25	62	774	71	484	0	67	35	0	542	0	165	253	41	37	10	68	34	91	185	57	43	0	0	0	94	12	170	183	166	403	99	34	161	86	160	10	32	0	25	130	58	0	37	409	17	21	12	0	0	0	0	150	0	224	0	270	0	17	0	5709	16	23	112	3519	11	315	0	11	0	634	0	683	0	108
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_paravirosa	2856	28	3965	152	2991	2321	965	451	1093	19	4470	0	1308	2302	2999	565	25325	4465	3164	1917	471	6309	11817	20023	47	5952	2693	13	4083	4770	1601	3962	1329	0	991	236	640	2836	2938	10393	14745	98	1205	10	21973	17	2597	2374	4929	305	4628	5520	7995	0	2017	430	2774	58	202	2034	1146	648	2331	198	711	99	137	6136	3150	15	83	5001	1798	2282	9600	1355	24	74	16	261	1629	1664	2477	22699	123	1595	33	135	0	34103	0	33	784	6477
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_sp003479425	1188	1964	2056	324	942	1942	688	566	1465	0	397	67300	824	1580	1064	3540	406	1995	2530	100	291	927	1849	1932	0	490	439	1445	6056	525	1076	1342	1514	3938	791	2262	143	556	754	862	316	1054	54	199	582	0	1534	474	1827	1093	707	266	1056	0	3117	2208	476	648	1980	4187	612	121	82	383	21288	455	1795	19838	51	14	2415	863	257	939	125	3140	93	198	174	78	98	1678	1783	380	213	1129	2105	6993	1370	2347	0	32	796	3146
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_sp900184685	792	259	10453	5456	12540	29986	40	2058	1079	17	644	15	2529	151	2056	589	12403	2176	517	936	1557	47	39	3457	0	4579	14	37	203	236	2086	43572	0	0	0	452	17	920	0	123	10444	33	15	0	2961	0	62	4546	4992	1032	24	22	10	34	6036	27	472	1826	2211	24187	1026	28	15	17	508	26	1793	5117	145	0	85	427	0	7794	0	4540	17	8080	0	517	168	221	918	9046	455	16	17	28	195	12890	0	63	56	12824
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_sp900759925	16	0	357	168	22	94	0	11	13	0	0	0	0	28	59	0	20	40	10	0	49	0	0	68	0	17	0	0	11	0	19	78	0	0	0	0	0	230	33	0	77	0	0	0	46	0	16	144	169	0	0	0	12	0	45	0	17	0	104	678	10	0	0	0	12	0	84	25	0	0	0	20	0	102	0	12	0	147	0	0	0	0	21	77	0	10	0	40	0	422	0	0	0	361
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_sp900761485	54	155	163	31	39	49	0	17	39	0	119	0	26	50	62	0	437	53	71	32	16	47	154	468	55	108	172	13	117	0	26	112	0	241	0	67	41	91	51	169	58	0	0	0	191	0	45	18	20	0	15	51	163	0	50	0	0	12	11	35	15	0	51	0	75	0	0	0	19	0	0	21	0	91	26	64	0	0	271	12	41	0	20	468	0	47	0	0	63	830	0	0	0	89
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_synergistica	619	126	826	74	85	359	82	76	64	0	90	56	121	239	380	44	906	251	70	233	67	58	79	261	0	937	186	0	115	115	406	255	204	0	14	1679	0	13700	139	7518	29	0	0	383	386	0	279	51	153	36	65	21	136	0	314	0	784	32	40	379	95	18	0	46	63	0	28	1400	0	0	56	226	256	235	0	102	0	88	0	61	61	0	117	138	67	132	0	124	54	2340	0	0	29	320
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_virosa	19891	426	90098	33167	18521	34356	253	7764	3883	59	7187	231	14736	42297	27925	9330	6539	56273	10041	3812	5186	58451	2402	27578	0	4980	477	135	18993	27	20534	27275	1393	7273	275	2550	0	6854	23197	1659	8220	141	45	130	6923	105	47928	16602	13138	4707	1073	5415	27332	87	35867	1143	3422	58	2212	26192	11789	659	2051	214	4889	8879	1669	108	138	196	1358	35108	23	39706	13	24132	0	6217	1239	872	2529	60	20464	12289	101	24593	512	4004	15	90997	28	70	241	19293
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__MGYG000004002	14	212	71	84	36	234	203	33	0	53	100	372	18	137	37	44	22	30	10	13	17	33	0	41	0	13	22	311	0	142	34	61	16	80	0	193	21	187	72	102	45	259	81	0	84	27	35	140	36	89	0	42	65	37	27	0	14	16	0	218	0	0	0	19	10	46	0	54	0	0	139	93	0	26	0	65	0	27	0	0	0	57	112	67	92	57	0	21	154	226	0	0	16	189
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Gabonibacter|s__Gabonibacter_massiliensis	20	265	19	23	1180	72	0	24	30	0	0	0	2763	0	0	0	10	17	10	13	0	0	61	0	0	0	75	0	0	0	0	16	0	0	0	47	0	10	0	0	437	0	17	0	0	0	2788	0	53	0	0	0	0	0	0	0	11	11	0	0	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6457	0	0	0	0	0	69	0	0	0	576
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Gabonibacter|s__Gabonibacter_sp900543425	0	92	0	0	41	7934	0	0	42	0	98	144	41	0	47	259	249	902	195	365	0	373	0	0	0	0	0	0	37	0	0	0	0	0	0	0	17	381	0	0	50	0	0	0	0	0	141	460	836	0	0	0	0	0	17	0	426	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	108	0	0	0	255	0	0	0	72	0	19882	0	0	0	17
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__MGYG000003076	5555	321	422	164	4112	13425	763	616	2278	275	751	335	2813	3873	1008	2621	3052	5784	1279	1464	1596	8814	6071	9179	911	2474	4200	392	2519	155	4527	4475	338	268	0	4158	35	3669	223	4402	2624	44	42	139	11135	0	4428	1283	2717	3140	706	1713	643	5258	3546	848	1099	1540	4087	7261	0	32	603	165	3929	495	2651	2847	416	0	273	3691	7087	2357	38	4470	1083	1264	35389	2096	904	4486	5900	1754	1461	9327	61	5366	506	26346	0	96	4346	7851
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__MGYG000004650	1073	12235	516	642	511	824	2543	1655	2412	32	714	3288	391	376	1143	697	915	775	1282	219	430	6256	1082	1248	1013	1808	4255	274	853	1910	1006	601	2544	520	189	2536	0	1243	566	1072	543	80	2970	166	3204	11	920	486	465	103	10033	3397	8360	55	786	1131	632	459	3818	355	108	96	1316	44	802	288	2505	1871	55	147	6748	2212	317	330	310	1289	114	1823	2623	507	111	53	1082	964	1706	1694	3572	1807	2241	2270	0	43	803	813
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__MGYG000004711	121	30	26	20	52	352	0	0	144	0	19	0	125	0	0	76	53	62	75	19	77	13	147	248	0	89	32	0	92	31	51	152	38	0	0	120	0	127	0	109	23	0	0	0	221	0	181	35	78	78	0	22	0	0	102	30	17	31	102	181	0	0	0	0	68	0	55	0	0	0	0	170	0	174	0	197	38	124	0	46	28	24	86	48	0	126	0	230	0	732	0	0	130	201
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__MGYG000004822	335	106	15	0	33	635	10	0	94	0	37	0	0	29	30	191	0	11	76	146	127	42	52	686	40	176	0	14	162	0	135	345	22	21	0	249	0	237	26	0	140	0	0	0	839	0	332	0	161	197	37	103	0	0	265	56	0	109	314	466	397	0	0	12	363	10	160	0	14	0	13	37	19	136	0	251	57	42	0	149	48	45	338	71	0	558	0	384	0	1562	0	0	240	560
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_laneus	32398	14	20	25	17	121	227	60	2072	236	28	47	0	365	0	0	768	1353	3347	245	16	29	0	103	0	19	52	0	3595	133	47	50	110	33	0	397	0	16	0	55	39	12	53	0	30	0	394	18	0	243	0	24	84	946	247	53	33	982	113	2379	0	17	0	178	0	51	75	46	33	0	35	84	0	70	47	905	54	0	0	1114	0	103	18	84	5336	51	75	397	72	565	0	0	0	37
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_massiliensis	641	0	783	897	9959	952673	2187	64	7357	3814	2799	0	2139	4065	9790	1554	1199	29562	3229	1975	953	19338	111	3056	62	9931	17679	77	2049	80	1497	670	484	40	15	2451	0	17106	318	3973	4615	2070	0	89	180	604	688	163047	4942	7782	359	8438	135	2497	41935	69	385	122	456	4109	782	0	562	23	635	7075	472	11789	620	0	926	2255	8178	1270	962	2847	394	251	0	1148	77	2569	2378	6130	507	7962	3472	2848	7626	240	89	560	183	5450
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_sp900541415	0	0	0	0	0	10	0	0	0	0	0	38	0	40	0	0	19	121	0	0	10	0	0	0	0	0	0	508	0	0	0	0	0	0	0	3757	0	4099	0	31	0	0	0	0	24306	0	0	0	126	28	103	0	0	0	0	0	227	0	0	0	10	0	0	0	0	0	0	0	0	0	0	83	0	0	0	43	0	0	138	0	0	27	0	2396	0	0	475	0	0	989	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_sp900544025	1126	0	0	28	242	359	0	0	33	0	0	0	411	559	338	12	2752	22683	1475	141	0	28	35	114	0	89	0	0	774	0	27	41	0	76	0	47	0	35	0	3610	154	0	0	0	92	0	937	42	22527	1865	0	49	0	0	22	24	35	49	21	0	0	0	10	12	94	0	30	0	113	0	0	0	651	123	16	156	0	42	0	0	14	146	45	75	0	0	24	174	1349	553	0	0	12	176
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_sp900548135	1434	436	1100	222	503	1799	17	82	1366	0	116	31	332	388	0	1334	359	771	740	337	463	660	1058	1610	116	482	447	139	587	63	677	1203	320	626	40	737	283	835	845	550	517	497	3582	1720	1422	335	1772	58	745	874	128	2398	71	12	1352	225	125	447	635	809	139	14	93	365	690	0	420	146	54	0	68	476	88	565	39	906	198	488	0	403	162	404	1672	2217	83	1577	0	1010	41	5182	0	268	977	1423
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_splanchnicus	56145	12	103	501	60538	94239	9737	9085	27389	74	7688	0	37809	49506	2008	28686	39954	63539	11174	14672	16774	102527	64202	91488	35	25139	54233	72	23540	256	58691	51443	4100	484	1402	48166	13	37663	109	61893	34100	0	53	1417	134373	47	52266	331	20338	30819	6680	11864	4109	904	40682	9405	13984	16914	47213	81471	0	26	112	2229	48229	527	30477	40630	5312	184	1929	50981	79680	23168	79	42866	10804	9297	30	24428	9103	67617	71173	13095	299	87652	87	57162	215	294988	18	622	48841	86656
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Amulumruptor|s__Amulumruptor_caecigallinarius	39	318	0	179	126	423	420	0	0	54	450	0	0	0	853	19	0	14	0	66	50	75	110	28	588	47	48	185	0	29	122	21	48	13	47	81	28	0	0	149	86	0	0	0	24	0	23	266	0	293	13	67	35	0	0	26	71	0	15	207	17	17	44	0	181	0	0	15	0	0	25	10	87	94	46	83	51	0	863	0	0	14	167	21	172	678	370	22	368	68	0	30	127	349
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Amulumruptor|s__Amulumruptor_sp001689515	132	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	176	104	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Amulumruptor|s__Amulumruptor_sp900539915	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Amulumruptor|s__Amulumruptor_sp900547825	180	0	0	0	0	0	0	0	79	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-1031|s__CAG-1031_sp000431215	13942	12	0	0	61	0	34	0	0	0	35	0	1449	0	0	0	163	0	19	15	20	0	0	0	0	11	0	27	11	0	61	25	0	0	0	0	0	0	0	0	0	0	13	0	1143	38	0	0	0	0	0	0	0	82	24	0	0	81	0	27	0	0	92	681	0	16	0	0	101	0	0	0	32	54	0	39	0	0	0	19	60	0	0	0	0	0	0	0	0	629	0	0	0	0
