	ERR3473510	ERR3473512	ERR3473514	ERR3473522	ERR3473526	ERR3473528	ERR3473547	ERR3473555	ERR3473559	ERR3473561	ERR3473571	ERR3473573	ERR3473579	ERR3473580	ERR3473582	ERR3473584	ERR3473597	ERR3473598	ERR3473603	ERR3473605	ERR3473607	ERR3473615	ERR3473621	ERR3473645	ERR3473649	ERR9814007	ERR9814019	ERR9814025	ERR9814027	ERR9814033	ERR9814045	ERR9814054	ERR9814059	ERR9814062	ERR9814063	ERR9814069	ERR9814073	ERR9814077	ERR9814079	ERR9814082	ERR9814086	ERR9814090	ERR9814106	ERR9814108	ERR9814112	ERR9814114	ERR9814116	ERR9814121	ERR9814132	ERR9814137	ERR9814139	ERR9814141	ERR9814144	ERR9814152	ERR9814160	ERR9814162
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-552|g__UMGS1795|s__UMGS1795_sp900761165	0	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-552|g__UMGS1880|s__MGYG000001851	0	0	22	0	0	0	68	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-552|g__UMGS1880|s__MGYG000003931	49	11	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-552|g__UMGS1880|s__UMGS1880_sp900555875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-552|g__UMGS1880|s__UMGS1880_sp900761765	0	555	0	0	0	225	0	565	0	0	0	0	17	0	0	0	0	12	0	0	0	0	106	27	27	18	0	0	87	0	13	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-10|s__Firm-10_sp004552515	0	0	0	0	0	0	31	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-10|s__MGYG000003308	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__Firm-11_sp004556545	21	190	15	12	93	0	25	61	38	22	0	0	10	0	42	0	64	15	0	0	47	24	0	19	0	0	0	0	0	0	10	83	34	0	0	0	0	0	0	31	24	241	0	0	0	0	0	15	0	955	43	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__Firm-11_sp900540045	63	3071	123	13	327	75	34	291	34	0	0	11	476	38	665	0	1291	459	0	0	17	0	130	0	0	128	14	349	34	279	127	0	206	0	357	0	297	0	76	73	0	73	0	0	0	2944	0	11	483	243	164	0	97	0	22	56
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__Firm-11_sp900548145	0	43	0	135	2068	0	121	454	12	0	0	0	17	23	350	0	116	64	127	0	609	0	0	395	182	0	0	0	0	0	14	318	334	0	0	0	0	0	0	328	232	0	0	0	0	20	0	0	0	1703	461	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__Firm-11_sp900550955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4764	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__Firm-11_sp900553905	23	133	0	0	11	0	0	22	0	0	0	0	123	0	24	0	44	81	0	0	0	0	0	0	0	11	0	12	0	0	39	0	31	0	16	0	28	0	0	0	11	48	0	0	0	207	0	0	161	93	0	0	0	94	0	10
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__MGYG000003773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__MGYG000004107	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__MGYG000004168	0	714	0	0	0	0	0	0	0	0	0	0	0	0	289	0	4958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__Firm-11|s__MGYG000004174	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	81	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__HGM11575|s__HGM11575_sp900754775	0	801	0	0	261	0	243	371	0	0	0	0	647	0	659	0	522	381	0	0	0	0	0	0	0	0	428	88	0	42	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	72
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__HGM11575|s__MGYG000002151	0	259	24	0	41	14	20	32	0	0	0	0	145	0	74	0	47	20	0	0	0	0	0	0	0	15	51	0	0	15	19	0	22	0	0	0	0	0	0	0	0	0	0	0	0	98	0	30	14	0	18	0	0	0	0	12
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__HGM11588|s__HGM11588_sp900754755	0	3236	0	25	0	0	0	653	0	0	0	0	294	0	614	0	397	436	0	0	0	0	0	0	0	61	205	0	28	200	313	0	0	0	172	0	11	0	0	0	0	145	0	0	0	406	0	0	71	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__HGM11588|s__MGYG000002699	0	205	0	0	0	0	0	43	0	0	0	0	146	0	248	0	33	28	0	0	0	0	0	0	0	0	103	0	0	13	28	0	22	0	11	0	0	0	0	0	0	40	0	0	0	99	0	0	31	0	97	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__MGYG000000745|s__MGYG000000745	0	16	0	0	0	0	0	0	12	0	0	0	0	0	46	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	12	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	43	0	0	0	0	0	11
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__MGYG000000747|s__MGYG000000747	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__MGYG000004874|s__MGYG000004874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__RUG11247|s__MGYG000003871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__RUG11247|s__RUG11247_sp902767315	0	264	0	0	0	92	28	0	0	0	0	0	29	0	43	0	30	45	0	0	42	0	0	0	22	20	0	0	0	0	32	0	0	0	0	0	0	0	0	0	20	38	0	0	0	0	0	79	0	64	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFH01|s__MGYG000002098	369	993	463	0	0	0	131	375	0	0	0	265	107	0	402	0	152	142	233	0	385	0	0	594	0	0	339	0	0	0	0	0	0	0	0	101	0	0	377	0	319	276	0	0	319	161	0	0	0	312	0	0	0	3259	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFH01|s__MGYG000004154	0	18	0	0	11	0	0	0	13	0	0	0	0	0	12	0	0	18	0	0	0	0	85	14	0	136	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	516	0	0	44	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFH01|s__SFFH01_sp900542395	1685	2177	192	634	17	27	243	61	52	0	13	0	286	304	155	0	0	576	212	0	639	366	0	1003	0	41	75	0	0	0	0	337	27	0	0	0	0	0	15	274	32	598	0	0	0	18	0	0	30	850	982	0	0	41	113	21
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFH01|s__SFFH01_sp900542445	28	1961	363	54	1083	1575	111	2902	184	0	375	225	64	91	2453	144	185	73	72	0	727	10	0	358	112	11	1884	442	241	0	0	0	748	14	142	0	0	0	497	210	1325	153	0	148	0	1037	0	0	1058	116	266	23	393	34	0	1553
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFH01|s__SFFH01_sp900548125	14	395	429	47	12	19	43	40	0	0	0	179	77	20	46	0	95	0	80	0	122	0	0	301	40	0	31	32	0	0	0	0	53	76	0	109	0	0	293	40	128	50	0	0	499	0	0	0	10	20	0	0	0	2959	0	24
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFFS01|s__MGYG000000727	0	223	0	0	0	0	15	0	0	0	0	0	161	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFHK01|s__SFHK01_sp004556395	0	0	0	0	0	0	27	0	0	0	0	0	1843	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__SFMI01|s__SFMI01_sp004556155	0	0	0	0	1095	0	143	248	0	0	0	0	91	0	13	0	0	693	237	0	0	0	0	0	116	0	0	0	0	0	155	0	0	53	202	0	0	0	0	1366	110	0	0	0	0	0	0	0	0	2330	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UBA11524|s__UBA11524_sp000437595	6891	10	1860	5201	6390	2290	721	33984	29341	0	0	7262	14081	1239	48872	0	19850	20216	69	10	7078	2207	21	6725	229	14698	12319	1567	0	0	0	235	1372	0	0	0	0	0	0	20602	15136	7257	0	0	0	0	0	0	8678	1148	10402	0	475	11	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UBA11524|s__UBA11524_sp900769075	0	0	0	0	0	0	0	0	16	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UMGS1600|s__UMGS1600_sp900553295	133	509	41	11	303	183	0	434	0	0	0	26	351	25	298	0	121	97	0	0	13	0	294	0	0	236	0	19	31	0	52	27	319	0	19	0	0	0	197	19	0	86	0	0	0	1149	0	0	68	0	41	0	0	0	18	259
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UMGS1600|s__UMGS1600_sp900553315	0	350	215	97	50	23	81	29	0	0	0	0	26	0	2140	0	105	72	0	0	109	215	0	152	91	69	32	0	0	0	15	38	17	0	0	0	0	0	0	107	290	13	0	0	15	0	0	16	0	316	36	0	71	0	0	111
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UMGS1603|s__UMGS1603_sp900553265	0	504	220	0	0	0	50	0	405	0	0	0	36	15	0	0	37	33	24	0	56	80	0	0	19	0	0	0	0	0	61	0	0	0	48	0	0	0	0	68	94	13	0	0	0	0	0	0	0	0	17	0	0	0	0	13
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UMGS1603|s__UMGS1603_sp900759005	0	0	0	0	0	0	26	129	0	0	0	0	0	0	71	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__UMGS1633|s__UMGS1633_sp900553645	0	0	67	30	0	0	75	0	0	0	0	0	13	26	483	0	0	10	22	0	56	32	0	66	0	0	53	0	0	0	0	0	0	0	39	0	0	0	0	90	136	23	0	0	0	0	0	0	0	21	35	15	0	0	0	31
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-74|g__WRGP01|s__MGYG000003833	0	22	0	0	0	11	0	0	0	0	0	0	712	0	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	17	20	0	0	0	22	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-1138|s__CAG-1138_sp000434675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-349|s__CAG-349_sp001940895	0	1874	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-349|s__CAG-349_sp003539515	0	13	0	1870	14	104	2424	16	21	0	0	0	1549	0	28	0	15310	0	936	0	90	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	512	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp000434435	0	33559	0	0	0	43283	0	0	0	0	0	12	447	0	0	0	0	0	0	0	0	0	0	0	0	10275	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900547975	0	148	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900548005	0	99	0	0	0	97	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	16	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900549225	0	176	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900550855	0	8855	0	0	0	5942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900550915	0	170	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900551145	0	193	0	0	0	4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900763875	0	45	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__CAG-475_sp900769205	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-475|s__MGYG000000628	0	1156	0	0	0	1115	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-917|s__CAG-917_sp000437555	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	28	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-917|s__MGYG000000749	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-917|s__MGYG000001904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__CAG-917|s__MGYG000002000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__HGM11377|s__HGM11377_sp900755035	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__UMGS1688|s__UMGS1688_sp900544575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__UMGS1688|s__UMGS1688_sp900545885	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__UMGS1688|s__UMGS1688_sp900553825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__CAG-917|g__UMGS1688|s__UMGS1688_sp900754695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__Christensenella|s__Christensenella_hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	254	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta	0	0	18	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	12	0	0	0	0	0	0	0	0	13	14	13	0	0	0	0	10	0	44	0	0	0	0	0	0	16	0	0	13	119	0	0	0	170	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__Christensenella|s__Christensenella_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__HGM11616|s__HGM11616_sp900761075	20	143	235	17	334	0	0	55	130	0	43	0	0	10	252	0	0	15	0	0	56	0	130	23	0	16	0	0	0	11	567	0	0	0	0	0	0	112	0	59	0	0	0	0	63	0	0	109	0	125	66	0	10	23	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__MGYG000001822|s__MGYG000001822	0	23	0	0	0	0	0	12	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	24	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__NSJ-63|s__NSJ-63_sp014384805	38	28	14	0	67	11	23	19	53	0	0	0	11	18	146	11	13	13	0	15	23	14	39	25	0	61	0	0	0	0	22	0	0	0	14	0	16	0	12	38	0	11	0	0	0	12	0	13	32	16	31	0	0	28	21	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__QAKS01|s__MGYG000004235	81	191	62	20	118	0	24	113	103	0	12	23	0	21	236	11	36	39	10	0	33	17	124	35	14	0	19	0	0	0	28	0	15	11	20	14	0	0	58	77	81	32	0	0	16	21	0	14	11	19	38	0	11	22	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__QANA01|s__MGYG000003304	0	0	0	45	57	0	116	131	0	0	49	0	29	0	561	92	0	0	40	0	0	99	182	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	10	0	22	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__QANA01|s__QANA01_sp003149735	154	129	0	0	0	0	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0	10	0	0	253	0	0	0	0	0	0	0	0	37	0	0	0	14	0	0	0	0	0	0	0	0	0	22	13	56	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__QANA01|s__QANA01_sp900554725	0	0	11	10	0	19	0	0	0	0	22	0	36	17	181	18	0	52	0	0	0	0	0	56	0	0	0	27	16	15	0	0	38	0	0	0	0	0	0	177	0	31	0	0	0	218	0	0	0	0	73	0	0	0	12	25
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Christensenellaceae|g__UMGS743|s__UMGS743_sp900545085	0	0	0	0	34	0	0	0	51	0	0	0	0	0	33	0	37	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	123	0	0	0	0	0	15	0	0	0	0	0	28	0	130	0	0	0	1326	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__GCA-900066905|g__GCA-900066905|s__GCA-900066905_sp900066905	0	11	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
