	DRR127476	DRR127478	DRR127485	DRR127488	DRR127491	DRR127507	DRR127514	DRR127517	DRR127519	DRR127521	DRR127524	DRR127532	DRR127535	DRR127536	DRR127537	DRR127546	DRR127552	DRR127557	DRR127559	DRR127567	DRR127579	DRR127583	DRR127588	DRR127594	DRR127596	DRR127597	DRR127603	DRR127613	DRR127617	DRR127625	DRR127634	DRR127646	DRR127647	DRR127649	DRR127666	DRR127669	DRR127672	DRR127685	DRR127704	DRR127707	DRR127718	DRR127720	DRR127724	DRR127728	DRR127731	DRR127736	DRR127737	DRR127748	DRR127751	DRR127752	DRR127774	DRR162775	DRR162776	DRR162777
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002251385	347	12	57	76781	31	0	0	34	0	2359	560	308	0	0	0	78	0	0	1700	0	0	0	0	36102	0	0	42331	378	240	898	73	2402	0	0	0	0	0	2197	0	0	0	17	0	0	0	0	39	0	0	0	5521	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002265625	3380	487	132	53354	444	107	17	192	86	3244	1386530	813	1678	0	0	0	0	19	851	0	0	200	0	12844	0	65	5461	6927	1094	7445	11417	0	0	0	65	0	0	812	0	10	98	6626	0	0	38	0	20755	0	0	23	4821	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002299275	3072	0	459	4620	647	0	0	451	0	1531	5046	497	197	0	0	25	0	57	0	18	0	0	0	6381	0	0	4049	4799	1615	12465	5179	0	0	0	0	0	0	1205	0	0	0	5092	0	0	0	4062	2161	225	0	2226	1824	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002299635	1423	0	327	12758	13	60	0	0	0	116	2299	862	387	0	0	12	0	0	289	0	0	0	31	628	0	57	475	1386	333	560	11	0	0	0	90	0	0	25	0	0	0	53	0	857	0	0	2058	0	0	0	406	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002300055	602	43	2781	3514374	2349	15	46	0	0	2109	1852	1427	301	0	0	233	0	0	3289	0	0	0	0	48	0	0	1064	23	118	516	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	242	0	0	0	1005	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002350355	11	0	0	16439	0	0	0	0	0	0	53	16	0	0	0	0	0	0	0	0	0	0	0	0	0	8695	106	1396	573	3469	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002480935	73	0	0	696	0	0	0	209	0	371	81	32	0	0	0	0	0	24	0	0	0	0	0	16	0	194	27	31	13	0	0	0	0	0	41	0	0	159	0	0	0	0	0	0	0	0	102	0	0	0	167	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp002481295	0	0	0	735	0	0	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18046	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp003447235	3991	46	427	1247827	0	0	0	0	13	110	182468	36411	162	0	0	18	0	486	13	0	0	0	0	139015	0	417	420	3740	199	98	18599	0	0	0	447	0	0	19	19	22	0	0	0	0	0	0	1273	13	0	0	2789	0	0	41
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp004556065	23522	0	153	2024	0	0	0	0	0	2844	18	0	3064	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	71	0	0	14	0	0	1089	0	0	0	0	0	0	4363	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900290275	22450	0	38339	7375210	26558	41	0	0	190	16925	2817170	5286	1886	81	0	0	0	35	0	0	0	0	0	717	0	84	24682	7951	5754	6817	6871	100	0	0	0	0	0	65629	0	0	0	1853	0	0	0	0	2079	0	0	0	3277	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900313215	765306	39	6997	14352	24	1612	46	35	23	40	5633	13971	1896	0	0	70	16	1452	913	0	0	0	0	57173	0	57607	579863	17534	16726	539	3668007	100	41	53	161140	114	30	785086	10	0	30	15076	0	0	0	26	22238	0	0	52	473	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900315955	265	0	0	33352	11	0	12	0	309	253	5542	1253	11	0	0	27	0	95	272	0	0	0	0	4253	0	151	28	74	58	31	0	0	0	17	139	0	0	0	35	0	0	0	0	0	0	0	113	0	0	0	351	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900316565	0	0	0	36	0	0	0	0	0	0	290	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	140	0	21	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900317685	494	21	0	26	0	0	0	0	0	0	608	107	0	0	0	0	0	0	118	0	0	0	0	781	0	0	12534	885	0	0	915	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1542	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900540375	0	0	0	5918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900540415	63	43	0	35	0	0	0	0	16	23	85	27	0	0	0	27	0	45	749	0	0	0	0	0	0	0	0	0	0	11	0	0	0	152	0	0	0	25	0	19	0	36	0	0	0	160	183970	0	0	0	0	0	0	22
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900543585	852	0	0	28250	0	0	0	0	0	0	9021	0	0	0	0	0	0	1561	209	0	0	16	0	1855	0	977	615	84	602	0	3491	0	0	0	2371	0	0	7616	0	0	0	0	0	0	25	0	4559	0	0	0	0	0	0	40
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900543975	1825	0	65	5491	65	163	0	0	18	1098	12318	563	1443	0	0	10	0	0	876	0	0	0	0	798	0	317	46331	329	290	0	523	0	0	0	217	0	316	193	0	0	0	14	0	19	0	0	1987	0	0	0	809	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900544495	1092	0	4008	378410	26	47	0	0	0	1505	4419	126	108	27	0	0	0	166	2117	0	0	0	0	274	0	0	100817	268	96	204	2558	0	0	0	284	0	11	12	0	0	0	201	0	0	0	0	1686	0	0	0	2813	54	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900544825	18725	0	53416	296	0	728	0	0	37	31	71295	5605	17054	0	0	0	0	17820	0	0	0	0	0	2359	0	15664	22177	18368	14788	0	579	252	0	0	37748	0	0	38	0	0	0	149	0	0	0	0	20171	0	0	0	93	0	22	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900545525	0	0	0	17	0	0	0	0	0	0	113	71	0	0	0	0	684	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	15390	0	0	0	0	0	171	0	0	24	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900546345	0	0	0	522	0	0	0	0	0	0	290	0	0	0	0	0	0	24	0	0	0	0	0	60	11	47	555	0	34	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900546535	12062	23	26948	8414	44	2370	0	79	20	29	76910	3261	33531	0	0	40	0	12949	69	21	0	0	0	17812	0	16378	16357	18286	22081	105	3644	223	0	0	25429	0	0	2317	0	0	0	1063	0	0	0	0	37880	0	0	0	10	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900546575	1518	0	857	82974	190	0	0	273	0	6914	6729	632	1816	18	0	12	0	98	82	0	0	15	0	15255	0	38	25829	5416	2227	506	983	0	0	0	131	0	0	146	0	0	0	1069	0	0	0	0	26410	0	0	0	7883	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900547005	453	19	40	965	161	0	0	132	185	118	1016	0	0	0	0	0	0	14	19	0	0	0	0	591	0	169	706	544	19	228	799	0	0	10	121	0	0	154	20	0	0	57	0	0	0	1046	806	32	0	18	88	625	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900548195	444	0	478	1267	20	87	0	0	0	616	5636	0	832	0	0	0	0	284	55	0	50	0	0	1256	0	299	814	975	547	10	1630	0	0	0	1708	0	0	497	0	0	0	60	0	0	0	0	1878	0	0	0	1512	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900548535	41436	103	454818	2585	0	15082	0	776	59	10428	219537	21252	122459	0	0	0	0	101322	0	0	0	0	0	100750	0	50463	330145	135063	40803	1058	9749	716	0	0	252243	0	0	49603	0	0	0	3600	0	0	0	0	241677	0	0	0	16074	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900548585	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	649	0	0	0	1118	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900548745	1401458	62	4922	1035491	75368	2521	102	143	0	310003	123868	9196	7662	0	0	7212	208	435	33327	584	331	957	0	17123	314	25318	1125935	13660	2056	31443	95541	38	314	271	423	0	2487	19636	1767	4038	236	6414	4092	462	146	6377	80582	764	0	284	52332	32	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900549175	281	0	51	864	11	22	0	70	33	113	30	71	147	0	0	159	731	60	157	0	341	109	0	26	0	0	40	18	0	0	67	27	0	43	24	39	227	50	179	45	26	59	0	25	0	179	71	40	0	17	30	34	85	94
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900550035	1193	0	267	116766	239	546	0	0	0	92	14836	1541	4707	16	0	200	0	495	24	0	0	0	433	1180	0	363	76445	1383	616	643	6220	0	0	46	326	54	0	319	163	266	0	174	0	0	0	0	1194	0	0	11	86	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900550365	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	0	0	0	23	0	0	0	0	1149	0	35	0	12	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900551055	0	0	0	0	0	0	0	13	203	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15866	0	0	0	0	0	0	42	11	0	0	0	0	423	0	0	22	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900551985	19419	0	72978	3834	14	634	0	0	157	479	27227	9029	16325	0	0	0	0	14613	104	0	0	0	0	5048	0	14237	23471	27874	8604	832	1523	234	0	266	5795	0	0	465	0	0	0	311	0	19	0	0	11933	0	0	0	240	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900552515	354	0	842	521449	19	0	0	0	0	793	5158	643	310	20	0	0	0	29	0	31	0	0	0	5210	0	14	605571	1746	199	12	1828	25	0	0	258	16	0	500	0	40	0	98	0	0	0	0	3180	0	0	0	283	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900552675	340	0	48	36824	90	0	0	0	0	98	735	0	233	0	0	0	0	0	79	0	0	0	0	619	0	0	19178	31	0	87	80	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	392	0	0	0	100	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900552965	1624	0	590	1215	150	37	0	0	0	223	809	112	2304	0	0	163	0	85	0	0	0	0	0	1283	0	39	457	1593	514	692	62	0	0	0	434	0	0	17096	0	0	0	4793	0	0	0	0	2611	0	0	0	444	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900553155	1248	54	1236	76644	408	410	0	91	15	203	12814	17	694	178	0	68	96	156	103	0	907	345	0	1208	0	7852	23896	1131	588	975	381	184	136	70	8339	0	878	694	66	213	152	780	70	136	400	659	1414	214	0	12	438	44	0	221
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900553465	0	0	0	412	0	17	0	0	3583	71	451	164	10	0	0	14	385	28	67	0	0	701	0	0	0	580	0	172	154	31	18	0	0	18628	103	0	0	53	0	89	11	0	0	0	0	0	104	0	0	10	0	0	145	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900553595	153	0	283	4187	41	0	0	410	126	72	2340	523	1295	16	14	0	0	54	61	0	0	906	0	812	0	70	924	863	325	2724	159	0	529	28	256	0	317	120	10	11	0	1133	0	168	31	0	399	49	0	0	180	35	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900553965	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	26	0	0	0	0	0	198	0	0	0	0	0	0	26	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554045	244	0	109	924	0	48	0	0	0	0	469	0	286	0	0	354	0	40	119	0	0	0	0	209	0	81	84	32	29	47	0	96	0	13918	12	0	0	0	0	0	0	0	0	0	4334	0	1123	0	0	0	106	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554545	1430	152	1121	1157	0	0	0	3800	637	13803	448	33226	609	7329	154	9408	0	269	5766	0	0	0	1638	266	0	138	2970	0	483	480618	240	63	437	60424	275	2610	576	19801	2145	0	0	0	83	181	0	199	2889	0	0	0	17351	1193	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554695	0	0	29	12	0	0	0	94	0	10	269	0	86	0	0	0	0	0	37	0	0	0	0	0	0	24	0	45	0	0	0	0	0	128379	99	24	0	0	0	0	0	12	0	0	0	37	402	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900555035	5480	10	28767	3854	0	1603	0	12	30	26	83160	930	18560	72	0	0	0	6446	84	0	0	0	0	3240	0	27881	20913	8421	25196	963	348	72	0	0	62278	0	0	67	11	0	0	457	0	0	0	0	27847	0	0	10	2904	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556275	21	39	2375	44	0	0	26	0	0	156	10	0	288	156	0	11	0	100	0	0	0	0	0	0	0	13	1350	212	10	376	13	0	17	0	285	20	0	0	181	0	68	338	0	0	0	0	163	0	0	87	0	0	0	36
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556395	28412	0	2189	14013	452	691	0	548	15	215	13954	1303	2033	97	5757	607	0	2219	1284	11	19	11	417	2713	17	1741	15386	3681	988	333	131023	1232	0	46	3738	0	176	44017	557	553	131	2858	0	0	22	109	8473	69	0	10	982	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556795	249931	2196	2241942	102470	41759	182296	679	152	444	97585	3461549	643603	1773688	0	0	16934	42	2156571	23756	0	0	0	0	1947368	0	1662653	1587639	3056454	1662868	6270	1096659	22123	0	0	3352484	521	1753	140916	0	0	0	182478	0	547	266	0	3571679	0	0	180	485009	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556825	352	0	1224	7620	0	0	289	121	0	9359	3835	0	2913	0	0	198	0	0	147	0	0	52	0	0	0	0	1422	124	49	639	0	45	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2538	0	0	0	358	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900557255	21799	1188	52870	4014	79	211448	312	246	461	435	6048019	4331	2145081	332	263	239	180	2677293	15	0	0	0	0	2024725	20	2017963	17154	2100597	1770901	995	19324	31314	51	86	4321045	492	44	9630	55	64	395	86625	32	0	251	12	3945293	17	42	1044	0	63	218	155
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900557405	34145	0	310	161650	26	0	0	0	0	33	631	13	219	0	0	24	0	4356	54	0	0	0	0	11	0	20	12104	14	704	503	0	46	0	0	0	0	0	36	0	0	0	12	0	20	0	0	643	0	0	0	85	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900762125	98	37	333	1108	0	112	17	17	408	0	4688	0	1194	233	171	117	113	2770	108	0	0	0	0	1731	0	1306	113	1028	1437	182	243	11	89	32	3595	0	41	69	56	340	139	87	141	483	0	56	2832	91	0	241	180	89	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900765465	10510	78	21703	431	87	4780	152	191	190	47	9304	4586	5536	350	17	156	262	2500	37	1346	1491	110	32	1655	16	9320	6513	21945	14383	65	1201	259	159	84	21204	14	36	192	27	0	16	503	10	57	0	50	20542	105	108	84	215	33	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900767615	7470	12	13521	3322	20	2069	0	0	30	2880	65706	3181	37168	0	0	0	0	26799	1801	0	0	0	0	6406	0	22849	9350	14922	21701	303	1101	281	0	0	39802	0	0	365	0	0	0	924	0	0	0	0	54349	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900769055	279	0	0	130	0	0	0	0	0	1557	0	22	0	0	0	73	0	0	0	0	0	0	0	0	0	0	381	0	0	49	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	1133	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900769275	83	0	0	30	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	246	0	0	0	0	0	0	0	304	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770025	96	0	0	31	0	0	0	0	270	21	845	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	3666	0	0	0	0	0	0	359	0	0	0	49	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770395	359	11	0	772	0	11	0	0	0	127	73	17	0	146	0	20	0	0	28	0	0	62	0	47	0	0	271	0	29	0	64	0	0	0	0	0	0	35	36	0	0	0	0	0	12	99	0	473	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770845	191	0	0	1287	0	0	0	0	0	837	143	0	0	0	0	0	0	0	429	0	0	0	0	239	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	488	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900771975	2390	18	644	24458	241	134	83	19	0	230	15995	2720	456	0	0	2424	0	157	25	0	72	0	131	282	0	58	10912	2398	752	1124	9624	24	0	10	2045	0	0	1335	34	417	0	71	0	0	0	0	5486	45	0	0	333	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900772835	1501	0	0	5398	64	0	0	0	0	0	384	19	170	0	0	0	0	0	27	0	0	0	0	129	0	0	847	42	35	18	0	0	0	0	10	0	0	48	0	0	0	0	0	0	0	0	820	0	0	0	30	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_stercorea	2853	1209	105	61445	483320	14	160	64	15	40280	16258	525	434166	87	0	138	22	19	1181	0	27	157	183	50275	76	2347	47856	34552	172359	1863114	1281	24	12	26	1109	145	18	845	1659	56	0	334894	788	67	227	838	105510	390	0	24	45776	123	44	19
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_timonensis	29	0	60	447	42	0	0	0	11	1230	293	0	0	14	0	0	0	0	976	16	105	32	0	0	0	0	443	0	0	698	0	0	0	939	0	29	0	0	0	0	0	1918	0	0	396	0	78	0	94	395	330	0	15	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_veroralis	0	0	0	0	35	0	108	0	13162	308	15	0	0	111	0	510	0	0	0	146	0	0	0	0	23	0	0	0	0	0	0	0	0	0	10	27	0	0	0	0	0	12	0	0	0	0	93	0	24	0	0	0	602	102
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA1786|s__UBA1786_sp900771425	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4334|s__MGYG000000682	123	0	318	2447	0	0	0	0	0	1797	3036	0	16	0	0	1333	0	0	0	0	35	0	0	1215	0	0	1928	85	106	65	188	0	0	0	0	0	1083	0	0	0	0	95	0	0	0	0	2622	285	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__MGYG000003470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__UBA4372_sp900543815	395841	10	0	16	0	0	0	0	0	0	0	177	0	0	0	29	0	0	0	18	0	0	0	0	0	0	31450	0	0	0	0	0	13	20	0	0	0	0	10	0	0	28	0	0	0	0	0	0	0	0	15	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__UBA4372_sp900766785	2202	0	0	393	0	0	0	12	0	138	0	0	0	508	0	60	0	0	12	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	102	49	0	0	0	280	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6382|s__UBA6382_sp900557555	8756	279	116	3886	29	0	0	0	17	49	2283	18	137	74	0	609	0	44	86	0	79	134	121	104	0	0	5380	0	280	13	62	0	0	17	41	0	149	564	177	0	0	31	0	430	0	0	490	59	0	174	56	16	125	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp003150315	38	0	102	149215	120	0	0	0	0	14	2433	48	127	0	0	0	0	0	11	0	0	543	0	226	0	0	238	164	294	45338	298	0	0	66	0	0	281	17	0	0	0	11570	24	0	556	2038	728	0	0	0	361	11	0	0
