	ERR1018185	ERR1018186	ERR1018187	ERR1018188	ERR1018189	ERR1018190	ERR1018191	ERR1018192	ERR1018193	ERR1018194	ERR1018195	ERR1018196	ERR1018197	ERR1018198	ERR1018199	ERR1018200	ERR1018201	ERR1018202	ERR1018203	ERR1018204	ERR1018205	ERR1018206	ERR1018207	ERR1018208	ERR1018209	ERR1018210	ERR1018211	ERR1018212	ERR1018213	ERR1018214	ERR1018215	ERR1018216	ERR1018217	ERR1018218	ERR1018219	ERR1018220	ERR1018221	ERR1018222	ERR1018223	ERR1018224	ERR1018225	ERR1018226	ERR1018227	ERR1018228	ERR1018229	ERR1018230	ERR1018231	ERR1018232	ERR1018233	ERR1018234	ERR1018235	ERR1018236	ERR1018237	ERR1018238	ERR1018239	ERR1018240	ERR1018241	ERR1018242	ERR1018243	ERR1018244	ERR1018245	ERR1018246	ERR1018247	ERR1018248	ERR1018249	ERR1018250	ERR1018251	ERR1018252	ERR1018253	ERR1018254	ERR1018255	ERR1018256	ERR1018257	ERR1018258	ERR1018259	ERR1018260	ERR1018261	ERR1018262	ERR1018263	ERR1018264	ERR1018265	ERR1018266	ERR1018267	ERR1018268	ERR1018269	ERR1018270	ERR1018271	ERR1018272	ERR1018273	ERR1018274	ERR1018275	ERR1018276	ERR1018277	ERR1018278	ERR1018279	ERR1018280	ERR1018281	ERR1018282	ERR1018283	ERR1018284	ERR1018285	ERR1018286	ERR1018287	ERR1018288	ERR1018289	ERR1018290	ERR1018291	ERR1018292	ERR1018293	ERR1018294	ERR1018295	ERR1018296	ERR1018297	ERR1018298	ERR1018299	ERR1018300	ERR1018301	ERR1018302	ERR1018303	ERR1018304	ERR1018305	ERR1018306	ERR1018307	ERR1018308	ERR1018309	ERR1018310	ERR1018311	ERR1018312
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp001689535	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp009775605	349	0	0	12651	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	286	0	0	0	0	0	13	0	0	0	0	0	0	606	0	0	0	0	0	351	569	0	0	0	0	0	0	0	0	0	0	279	0	0	13	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	306	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900546365	0	0	0	86	0	0	0	0	0	0	0	0	0	0	11	0	0	31	17	0	0	0	22	0	21	32	0	0	0	59	0	26	0	20	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	21	0	0	0	0	0	0	15	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	35	0	19	0	0	17	0	0	15	12	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900551515	191	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	220	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900752995	19	0	0	0	0	0	0	0	31	88	1919	12	0	180	0	0	0	20	22	0	0	0	15	0	558	0	20	17	0	27	0	139	0	0	40	0	250	0	11	0	0	0	21	0	0	255	91	0	0	0	12	12	0	0	0	48	0	0	138	63	15	49	42	0	19	0	0	0	0	34	113	14	18	807	11	40	469	32	0	0	65	78	0	0	45	0	0	34	0	25	72	0	18	21	0	0	26	12	65	0	0	0	0	0	76	0	1874	0	0	39	0	0	0	0	0	0	204	34	44	51	0	20	0	63	0	26	0	47
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900759835	271	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	348	0	0	0	0	0	13	0	54	0	10	0	121	0	0	0	0	0	0	0	24	0	0	0	12	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	324	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900759915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	138	25	112	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum_sp900760855	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	71	46	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__SFTJ01|s__MGYG000002176	0	61	130	25	110	0	0	0	0	0	78	35	0	71	0	0	18	346	0	0	19	421	81	0	128	11	27	21	347	0	13	33	84	707	83	29	15	1006	31	0	515	0	101	567	102	757	173	697	75	0	73	38	0	416	0	355	0	0	0	857	75	264	12	82	938	26	385	142	746	24	32	354	118	29	203	0	118	411	323	0	115	69	1066	138	36	21	248	174	359	91	0	20	107	27	0	82	64	78	13	62	830	98	0	860	45	81	702	0	158	135	229	188	0	13	0	48	88	0	200	0	211	83	65	454	0	1305	10	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__SFTJ01|s__SFTJ01_sp004557385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	738	0	0	0	0	2175	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	21	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	247	33	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__SFTJ01|s__SFTJ01_sp900769345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__MGYG000003728	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	35	0	0	0	0	28	0	0	0	0	0	0	0	14	0	0	0	0	0	0	42	29	0	36	0	0	11	0	0	0	36	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	51	0	0	0	0	0	22	0	18	0	28	0	0	0	0	0	58	0	0	173	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	86	0	74	0	16	0	0	102	0	0	0	106	0	0	0	0	200	58	23
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__MGYG000003799	0	0	0	0	69	0	0	0	711	0	0	0	0	11	0	18	0	0	118	0	25	18	0	0	0	0	187	26	0	24	139	219	17	0	0	344	180	62	146	0	0	0	85	0	0	0	38	0	0	0	11	16	0	57	0	0	41	126	215	15	0	0	47	0	0	0	0	11	0	133	0	14	0	702	0	0	0	0	0	0	51	0	0	0	0	0	0	60	41	249	0	39	0	0	0	0	563	0	0	0	0	0	0	33	334	33	0	0	0	0	0	0	0	53	20	0	40	0	0	0	29	80	0	13	44	143	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus_pleomorphus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus_sp004557565	12	0	19	75	0	0	0	0	0	678	0	0	0	0	0	0	0	853	0	34	0	0	290	0	0	0	0	0	0	66	0	0	0	134	0	375	36	35	0	0	1664	0	0	0	0	0	0	0	10	0	30	384	0	44	0	16	45	0	0	0	0	33	0	12	55	0	12	0	17	0	0	0	0	0	0	41	0	0	0	0	0	0	42	0	0	0	0	14	477	0	0	0	0	64	0	0	0	20	0	0	64	0	0	0	0	0	0	0	0	0	241	0	0	0	44	42	858	0	0	0	0	99	0	0	0	3927	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus_sp900770215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA3263|s__MGYG000004432	2544	0	0	0	49	0	0	0	0	0	0	0	0	0	36	0	0	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	2947	0	0	0	0	218	0	0	0	0	0	0	0	3241	0	28	0	0	0	2369	2167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	135	415	416	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA3263|s__UBA3263_sp900759865	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__MGYG000000400	593	156	25	23	21	0	0	0	43	85	0	78	250	0	33	21	0	0	0	393	0	0	18	15	25	17	103	11	0	492	0	35	10	28	47	27	27	133	18	87	0	24	105	0	78	0	42	0	404	0	0	25	0	10	0	23	130	13	30	40	0	73	38	37	25	0	509	0	0	117	56	0	0	564	105	0	104	57	13	0	162	0	14	82	0	45	0	0	19	0	0	19	49	57	0	0	11	88	213	252	0	22	66	27	0	163	50	0	0	0	11	0	11	0	87	23	19	44	36	155	90	158	0	7786	15	69	112	30
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__MGYG000001839	346	0	0	736	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	103	0	0	0	0	0	0	202	255	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	492	1614	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__MGYG000004043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__MGYG000004365	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	33	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__MGYG000004820	308	0	36	370	336	423	0	0	43	25	0	65	17	21	0	0	421	52	0	0	0	0	0	0	69	0	39	3960	0	0	0	13	26	299	0	296	1509	69	48	26	23	420	0	57	40	1052	15	203	47	0	12	55	0	0	14	12	30	0	24	122	1056	6029	268	128	33	12	339	11	117	28	142	29	874	118	59	0	18	0	0	0	21	25	54	102	14	0	28	121	206	291	176	226	86	0	11	1061	134	0	0	101	101	0	12	0	0	33	1678	85	714	393	20	0	42	12	27	0	0	0	596	0	182	0	37	64	374	275	143	14
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp001701135	26	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3766	131	0	0	0	0	0	0	0	0	0	0	0	0	20671	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp001915385	67	0	0	647	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	12	0	0	269	0	0	0	0	0	0	0	235	0	0	0	0	0	38	689	3501	0	0	0	0	2030	0	0	0	0	0	0	0	0	0	0	0	71	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	37	0	0	0	0	0	0	58	75	402	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900540205	98	0	0	40	29	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2638	12	0	11	0	1519	0	54	0	0	32	122	0	0	0	0	0	0	0	0	10	0	0	0	18689	1608	0	14	0	0	0	11	0	0	3472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5410	0	0	0	0	0	0	11	0	0	0	10	39	0	24	182	833	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900546835	0	0	0	1142	13096	0	0	0	28	686	0	986	0	967	0	0	0	3696	0	0	0	460	0	0	0	0	0	0	42	0	439	43	40	46	0	0	496	370	28944	0	556	36	290754	444	2396	120	214	21311	28	0	284	565	0	0	0	506227	2873	0	0	2040	0	2101	518	1976	317	85	0	16	1609	0	0	262	454	0	0	5450	0	0	164	0	0	548	2664	473	0	0	56	270	0	0	20	0	0	962	0	16	575	0	0	0	0	0	0	0	0	0	574	14	24	0	351	60	87	404	2674	0	2153	0	0	16	94	76	0	172785	245	1284	0	18
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900548705	185	0	0	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	30	0	0	0	0	0	18	0	0	0	0	0	0	0	134	200	10	0	0	0	0	0	0	0	12	0	0	0	0	0	1867	0	0	22250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5315	0	0	0	0	0	0	0	0	0	0	61	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	20936	0	1009	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900552325	44	17	0	2108	28	32	0	37	0	26	0	19	18	29	0	46	16	44	67	0	16	0	228	0	0	0	22	51	16	38	23	0	21	0	0	13	19	11	15	0	32	34	84	0	175	64	0	32	59	0	15	0	0	18	0	96	14	16	0	12	0	0	11	10	59	50	0	31	20	11	21	12	10	91	14	22	0	0	24	0	0	42	19	49	11	0	0	10	27	27	0	16	106	16	0	17	51	0	0	0	12	18	0	441	0	89	31	0	0	406	0	0	0	0	16	21	28	11	12	11	0	0	0	9575	239	5548	25	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900555165	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900759895	157	10	0	80	3458	416	14	0	21	2119	0	368	44	479	0	12	305	193	0	0	0	0	0	0	46	14	6021	596	0	154	22	0	0	20	0	174	505	63	0	0	0	0	122	0	30	977	22	222	0	0	43	18	0	0	574	45	0	58	0	209	2677	25	37	21	16	0	0	0	0	5027	0	24	0	0	0	0	0	0	0	27	905	51	1334	381	942	0	91	9366	57	58	522	13	26	4909	0	19	145	23	0	0	0	0	0	59	54	143	0	0	0	44	0	0	0	125	0	0	96	66	20	0	199	0	0	2291	61	570	35	100
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__UBA7173|s__UBA7173_sp900768685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	236	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__UBA1711|s__UBA1711_sp900771365	11	0	25	0	19	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	12	35	0	0	0	0	0	0	0	0	19	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	20	11	19	0	0	0	10	0	0	0	0	0	0	12	18	14	0	0	0	0	45	16	0	0	0	0	0	0	48	0	0	10	26	0	0	0	0	0	17	0	12	0	11	0	0	14	0	0	0	0	10	0	11	0	0	18	15	12	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__UBA3388|s__UBA3388_sp002358835	0	0	0	0	98	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	33	0	0	0	0	208	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	197	0	0	0	0	0	0	0	66	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__UBA3388|s__UBA3388_sp004551865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__UBA3388|s__UBA3388_sp900545215	0	0	0	0	0	0	0	0	0	22	0	0	13	0	0	20	0	594	0	0	0	0	0	0	0	0	16	0	0	0	29	51	0	10	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	370	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__P3|g__UBA3388|s__UBA3388_sp900546465	0	0	0	0	0	0	0	0	0	0	0	264	0	43	0	0	0	0	0	0	0	0	0	0	0	0	34	10	0	132	0	0	0	0	15	12	0	0	0	0	0	0	0	25	0	0	0	0	234	0	17	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	50	0	0	0	76	0	0	0	0	19	0	0	0	0	0	52	0	0	0	0	0	0	0	0	60	12	2439	28	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	40	0	0	0	20	0	0	0	0	30	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__RF16|s__MGYG000003633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__SFVR01|s__SFVR01_sp900769035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	19	0	0
