	ERR2726405	ERR2726406	ERR2726407	ERR2726408	ERR2726409	ERR2726410	ERR2726415	ERR2726419	ERR2726420	ERR2726421	ERR2726422	ERR2726423	ERR2726427	ERR2726428	ERR2726432	ERR2726433	ERR2726434	ERR2726435	ERR2726436	ERR2726437	ERR2726443	ERR2726444	ERR2726446	ERR2726448	ERR2726453	ERR2726463	ERR2726476	ERR2726480	ERR2726484	ERR2726488	ERR2726489	ERR2726494	ERR2726501	ERR2726503	ERR2726507	ERR2726513	ERR2726522	ERR2726527
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004506	23	0	95	14	0	0	0	26	0	0	0	0	36	0	0	0	0	0	0	0	0	11	0	87	16	0	17	0	44	0	16	0	0	0	0	12	0	18
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004514	92	25	0	0	0	0	0	94	0	27	0	0	0	0	0	0	0	0	11	0	0	10	0	0	0	0	0	192	0	0	23	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004522	0	0	0	0	27	0	0	200	0	57	0	0	16	0	0	0	78	0	11	0	0	26	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004549	61	0	51	22	0	18	0	21	0	13	0	0	63	0	13	19	0	0	14	0	0	0	0	101	158	0	23	58	136	13	21	15	0	27	0	0	22	20
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004583	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	3805	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004607	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	99	0	0	0	0	60	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004608	0	0	278	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004619	0	0	14	16	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	12	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004651	0	0	6924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2922
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004656	0	0	3957	11470	0	220	0	0	696	0	0	0	3846	0	5513	0	197	0	2640	3355	0	0	0	0	2099	0	5656	2263	0	0	0	0	0	0	2359	0	4704	1279
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004662	2498	625	0	1797	0	0	887	0	714	0	0	0	901	0	0	0	0	72	1242	453	0	471	0	0	0	0	0	0	0	0	0	713	3266	0	1929	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004664	1055	0	0	0	0	73	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	6953
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004681	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	10	0	0	220	0	0	0	0	0	0	0	251	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004684	100	11	126	84	11	67	21	219	21	36	28	0	160	16	102	94	12	16	83	55	0	51	23	80	39	0	70	27	53	0	23	36	15	29	41	0	74	26
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004710	16	0	0	0	0	0	0	479	34	234	0	0	36	0	45	0	0	20	0	0	135	0	0	0	0	0	0	76	0	0	489	27	40	69	22	0	622	23
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004765	85	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	84	14	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004772	61	20	0	21	0	0	25	229	0	23	33	0	134	0	13	33	0	17	87	64	12	0	0	0	0	13	0	81	20	0	0	25	0	23	0	179	56	23
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__MGYG000004868	0	15	29	0	0	0	0	76	0	47	0	0	0	0	0	34	0	0	0	0	13	0	38	14	145	23	15	12	19	0	0	0	39	0	0	0	90	55
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0	27	0	609	0	0	0	0	0	0	6202	39	0	0	0	0	135	0	0	0	0	0	0	0	1279	0	89	0	0	3310	0	27	0	549	0	0	0	42
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_sp900538305	0	0	0	0	0	0	0	0	0	0	333	1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	1420	0	0	0	69
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_sp900751795	14	0	0	15	16	0	0	13	0	36	0	1242	0	0	0	0	13	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	697	1210	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_timonensis	1602	0	0	428	0	0	0	0	0	0	0	142	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	70	0	0	0	2445
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_celatus_A	10916	0	0	2083	4311	5702	14	18718	2293	10350	267	1786	3179	2198	188	233	6307	1074	15608	112	1701	198	1087	0	2028	3221	4236	2234	4526	1251	319	0	19	2643	59	16	4743	1731
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__MGYG000002712	2576	0	0	625	1182	1722	0	6587	732	3399	53	469	426	539	73	95	1874	261	2145	21	542	54	329	0	554	537	1239	540	1092	272	96	0	10	646	25	0	1351	480
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__MGYG000004817	12393	0	12387	0	5551	10013	0	27289	3597	13724	1201	0	0	2282	0	0	8258	0	0	0	3113	0	0	0	0	2778	5111	0	6273	1634	1111	0	0	0	0	922	6142	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAAEEV01|s__CAAEEV01_sp900754955	79	0	0	13	14	11	12	60	0	148	10	2279	11	0	0	0	36	0	45	10	26	0	0	0	0	32	0	0	11	0	0	0	0	0	0	0	0	28
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAAEEV01|s__MGYG000004183	0	0	0	107	0	0	10	0	0	0	0	0	0	0	481	0	0	0	0	309	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAAEEV01|s__MGYG000004554	82	0	0	24	14	83	0	38	19	128	0	21	0	23	0	0	81	0	14	0	20	0	14	0	19	11	0	0	54	0	0	0	0	0	0	0	11	521
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAAEEV01|s__MGYG000004895	0	0	0	0	0	0	0	95	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp000431675	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	81	0	0	0	0	1872	0	0	0	30	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp000434775	0	295	0	104	0	0	2088	0	84	0	0	0	0	0	0	28	0	5541	0	0	0	4255	0	0	0	0	0	0	0	0	0	630	0	0	59	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp000435475	0	0	0	0	0	0	0	0	0	0	0	8237	0	0	0	0	0	0	0	0	0	6759	0	0	0	0	10	4970	0	0	0	0	0	0	0	0	2088	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp000435675	46	0	0	24	26	11	0	82	532	1550	6497	9566	1278	0	51	19	5121	33	19270	75	47	198	338	0	39	0	72	2720	11458	2530	178	0	24	0	0	0	767	30
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp000436075	21	1598	36	35546	28	0	4629	406	26344	0	0	0	10628	1917	3935	7170	0	20	0	38626	0	22	283	58	17846	0	0	0	0	0	0	3089	64	2772	4841	63	0	10907
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900538545	137	0	0	0	0	0	0	23	46	8261	456	491	100	0	0	0	374	0	2170	0	0	0	34	0	0	0	0	294	567	170	0	0	0	0	0	0	94	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900539675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900540345	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900542265	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900542525	628	0	0	0	0	0	0	2581	20502	34566	7278	6945	8880	0	0	0	5748	0	25268	0	0	0	0	0	0	0	0	4432	11672	3148	0	0	0	0	0	0	1287	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900544455	0	0	0	454	0	0	44	0	176	0	0	0	64	30	26	56	0	0	0	299	0	0	0	0	150	0	0	0	0	0	0	26	0	33	102	0	0	132
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900546175	24	62	66	44	120	0	57	11	229	182	78	54	806	0	145	1611	21	190	37	17	37	134	78	18	82	71	108	13	0	71	20	13	18	21	16	33	19	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900547965	0	0	0	101	0	0	38	0	73	0	0	0	101	0	13	29	0	0	0	91	0	0	0	0	48	0	0	0	0	0	0	10	0	10	13	0	0	26
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900548955	10	0	0	0	0	10	42	0	96	0	18	71	46	130	0	0	0	0	0	0	18	72	0	588	14	77	0	29	0	0	0	0	147	0	0	31	105	19
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900551155	0	0	0	0	0	0	0	0	0	0	0	2245	0	0	0	0	0	0	0	0	0	798	0	0	0	0	0	0	0	0	0	0	2620	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900553605	0	58	32	1769	23	0	194	16	948	43	15	0	434	83	127	260	0	0	11	1083	16	23	14	0	593	0	81	0	0	12	25	125	17	118	220	0	0	435
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900554685	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	47	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900556585	1677	16	0	12	17	23	39	0	0	70	1099	22	29	0	94	61	36	35	19	0	53	67	0	90	0	31	48	180	315	0	0	22	0	46	27	0	40	78
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__CAG-1427_sp900753095	0	0	0	88	0	0	0	0	29	0	0	0	17	0	0	0	0	0	96	33	0	0	14416	0	12	0	7516	0	0	0	0	0	0	0	10	0	0	19
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000000300	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000000616	46	0	0	0	0	0	0	0	0	3175	110	106	19	0	0	0	166	0	557	0	0	0	13	0	0	0	0	74	265	154	0	0	0	0	0	0	23	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000001233	0	0	0	514	0	0	0	16459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000002761	0	0	0	23	0	0	0	400	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000003745	0	125	0	49	0	0	20	37	20	0	0	19	0	0	99	31	69	11	18	67	43	0	16	0	34	0	63	100	0	0	0	47	0	115	0	0	55	23
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000004595	0	0	44	0	0	0	0	0	0	0	0	2742	0	0	0	0	0	0	0	0	91	101	0	0	0	0	0	10	27	0	0	0	18	0	0	0	11	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000004614	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__CAG-1427|s__MGYG000004724	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__DNF00809|s__DNF00809_sp001552935	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__DNF00809|s__DNF00809_sp900604965	0	0	0	0	0	0	0	0	0	20	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	4045	32	62028	669	4013	26511	153	17772	76	2817	2318	168	1622	1211	372	471	4604	210	333	380	5129	150	121	455	106	3256	313	381	7030	1737	3402	59	270	492	34	4674	4296	207
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_sinensis	0	0	0	0	0	138	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_sp014287365	308	177	671	147	75	210	0	535	19	73	35	18	307	73	62	12	66	34	120	11	58	82	19	458	118	76	154	71	305	79	101	34	16	111	37	194	161	86
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Ellagibacter|s__Ellagibacter_isourolithinifaciens	32	1781	0	11189	0	0	7844	54	3393	9567	39	515	0	26	6758	3203	0	4667	13	3395	0	4677	352	0	1145	0	21	4362	14	0	0	3612	3389	2003	2851	0	0	12266
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Ellagibacter|s__Ellagibacter_sp900554945	73	193	703	1568	76	375	987	193	374	1106	37	44	38	32	797	345	86	562	51	392	71	496	847	0	137	74	21	604	98	36	66	493	340	248	366	82	108	1451
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Ellagibacter|s__MGYG000000635	0	27	0	393	0	0	220	0	60	175	0	0	0	0	86	63	0	79	0	71	0	95	198	0	21	0	0	99	0	0	0	79	73	31	67	0	0	310
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enteroscipio|s__Enteroscipio_rubneri	0	0	29	0	125	0	0	0	0	58	0	0	22	0	0	0	1974	0	0	0	1364	84	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_massiliensis	0	0	20	0	0	0	0	0	0	0	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	2750	0	2747	377	61	80	0	33934	24	58	2822	145	138	11	14	107	332	0	109	161	1793	19	27	11	0	392	304	27	1794	101	121	23	19	246	0	0	3552	36
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_sp003339845	0	76	21	0	0	0	0	136	68	0	16	0	0	0	424	132	0	0	0	59	0	0	18	304	0	39	0	109	14	0	19	39	292	25	0	0	144	219
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_urolithinfaciens	77	121	276	350	1028	0	0	345	12	80	478	11	2024	229	41	17	725	0	1916	0	58	0	0	0	27	0	96	0	98	423	297	0	0	70	0	0	152	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__MGYG000001600|s__MGYG000001600	0	0	0	1964	0	0	0	0	0	0	0	1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__MGYG000004112|s__MGYG000004112	0	0	265	48	19	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Paraeggerthella|s__Paraeggerthella_hongkongensis	56	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	18	0	0	0	0	17	0	0	0	0	0	0	60	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Paraeggerthella|s__Paraeggerthella_hongkongensis_A	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Phoenicibacter|s__Phoenicibacter_congonensis	0	0	0	0	0	0	15493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	13	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__RUG013|s__RUG013_sp001486445	0	0	0	39	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Raoultibacter|s__Raoultibacter_timonensis	0	0	33	0	0	16	0	10	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Rubneribacter|s__Rubneribacter_badeniensis	12	0	33	0	0	0	0	0	0	24483	86	0	0	0	48	0	665	0	138	0	106	0	0	0	63	0	0	105	1121	0	12	0	0	46	0	0	0	15
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia|s__MGYG000000597	0	0	0	0	0	0	0	0	49	0	0	16	18	0	0	37	0	0	0	24	0	15	0	0	0	0	0	40	0	0	0	0	0	0	11	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia|s__MGYG000000643	0	0	0	95	0	51	32	0	34	0	0	37	48	0	28	19	0	0	0	37	0	53	11	0	0	0	0	114	0	0	0	26	11	0	37	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia|s__MGYG000004238	0	0	29	52	0	0	46	17	17	20	0	109	39	0	119	25	0	10	24	838	10	89	25	0	0	17	0	100	25	10	13	73	79	14	104	0	0	32
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia|s__MGYG000004654	0	0	0	99	0	0	42	0	128	0	0	50	66	0	54	29	0	14	0	23	0	77	61	13	0	0	0	158	0	0	0	35	18	0	41	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia	0	73	0	1671	0	0	460	22	838	0	0	843	1346	0	102	408	0	232	0	90	0	1022	569	26	0	0	0	2055	0	0	0	500	44	0	450	0	0	0
