	SRR6468500	SRR6468503	SRR6468508	SRR6468509	SRR6468512	SRR6468522	SRR6468523	SRR6468524	SRR6468528	SRR6468532	SRR6468538	SRR6468540	SRR6468543	SRR6468544	SRR6468545	SRR6468549	SRR6468550	SRR6468553	SRR6468562	SRR6468564	SRR6468567	SRR6468589	SRR6468597	SRR6468598	SRR6468600	SRR6468604	SRR6468605	SRR6468611	SRR6468613	SRR6468614	SRR6468617	SRR6468621	SRR6468622	SRR6468624	SRR6468626	SRR6468627	SRR6468628	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468635	SRR6468636	SRR6468639	SRR6468643	SRR6468644	SRR6468647	SRR6468649	SRR6468654	SRR6468656	SRR6468657	SRR6468658	SRR6468660	SRR6468663	SRR6468664	SRR6468668	SRR6468673	SRR6468674	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468684	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468690	SRR6468693	SRR6468697	SRR6468698	SRR6468699	SRR6468704	SRR6468706	SRR6468709	SRR6468715	SRR6468716	SRR6468718
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900752015	0	0	0	0	0	0	4294	0	0	868	1632	0	13934	2275	2584	0	3156	1816	0	0	0	0	0	0	84846	0	0	3485	0	1694	0	0	0	0	0	0	0	0	14690	0	0	0	2127	0	0	1654	3534	0	0	0	0	6308	0	0	0	0	2331	4623	2786	0	0	0	0	2867	0	0	0	0	19555	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900752215	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	55	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900752425	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	68	11	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900752475	0	35	0	0	0	0	26	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	38	0	30	15	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	53	23	0	0	0	20	0	0	0	0	0	0	0	0	0	51	0	0	0	0	169	0	0	50	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900752545	0	0	0	10	0	72	0	0	0	0	0	0	27	0	20	0	25	0	0	0	179	0	0	0	221	120	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	27	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754075	71	0	0	0	0	0	63	0	0	0	0	0	10	0	0	0	18	22	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	27	0	0	10	10	0	0	0	0	0	27	0	0	0	0	24	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754275	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754385	605	217	140	93	164	24	67	78	191	937	48	787	441	1083	0	0	230	86	0	0	276	0	0	300	14	38	0	331	0	194	96	175	0	0	112	49	358	112	218	531	13	490	105	17	1323	650	32	42	0	1185	37	1333	22	0	0	3483	99	0	593	307	1114	35	0	254	13	64	49	17	825	791	112	188	166	14	42	580	69	216
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754435	11640	4782	0	0	0	2305	13570	0	4690	0	1780	0	17956	957	21051	360	11116	0	0	0	10617	0	545	0	0	6249	15019	3463	917	6255	4330	769	2172	0	0	3627	2455	1296	25148	7655	0	745	16171	0	0	1865	3857	834	0	21518	6869	9886	22280	0	0	0	15057	13407	3479	3129	2758	0	148	7874	293	1361	0	0	2836	1156	0	1871	838	0	16990	0	0	346
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754445	0	0	0	16	0	0	10	0	10	0	0	0	27	0	35	0	14	32	0	0	10	0	18	0	0	10	14	21	0	15	74	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	12	0	26	0	13	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	29	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754525	44	11	20	0	52	0	55	40	41	54	0	20	10	24	0	0	59	27	0	0	16	0	0	0	46	14	0	185	14	0	0	0	0	0	0	0	0	0	13	15	47	110	0	0	25	19	0	0	0	33	0	281	21	0	0	271	0	0	112	27	21	0	0	30	0	0	0	0	1307	136	0	0	0	0	54	0	110	81
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900754745	686	0	10	0	0	0	0	0	0	0	0	0	146	0	0	0	881	0	0	0	11	0	0	0	1013	0	0	324	0	41	14	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	11	0	0	15	0	12	0	0	0	0	102	10	0	12	123	10	0	0	0	0	0	0	61	0	0	12	0	0	11	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900755005	0	0	125	0	0	71	0	38	202	0	0	0	0	39	0	0	16	0	0	0	0	0	0	0	0	24	10	0	0	38	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	19	0	0	0	0	0	0	0	0	0	11	37	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900755685	18	21	0	0	35	0	0	20	0	0	0	0	22	0	39	0	33	39	0	0	0	0	11	0	916	63	0	22	0	0	12	0	0	0	0	0	0	0	28	25	0	0	10	0	0	17	20	0	0	0	14	11	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900756725	25	13	0	0	0	0	0	11	0	0	0	0	44	0	0	16	0	0	0	0	0	0	0	0	571	0	0	0	25	42	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	34	0	0	0	0	18	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	31	0	0	0	0	0	11	0	48	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900756765	226	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	12	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757185	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757205	0	0	0	0	10	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	27	15	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	12	22	0	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757235	27	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	147	298	0	0	0	0	0	0	26	0	0	0	0	0	18	0	0	0	31	0	0	0	0	53	0	0	0	0	17	0	16	0	0	14	0	0	0	0	0	0	19	0	0	91	0	0	17	39	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757265	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	16	28	29	0	0	0	0	14	0	12	0	0	0	0	0	0	0	0	12	0	0	0	0	0	12	0	0	0	0	10	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757285	244	25	24	20	43	0	10	32	35	129	10	137	57	186	0	0	19	14	0	0	51	0	0	64	0	0	0	90	0	47	18	41	0	0	26	16	62	17	93	119	0	89	0	0	250	110	0	10	0	261	0	288	0	0	0	875	0	12	216	38	267	11	0	76	0	26	0	0	215	165	16	55	51	0	10	86	10	25
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757385	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757465	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	12	21	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757495	7735	9042	0	0	0	0	0	0	0	0	0	0	1196	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757505	0	26	16	0	0	0	0	0	0	0	0	0	0	0	10	0	91	0	0	19	0	0	0	0	135	0	0	0	0	0	11	0	0	0	0	0	0	0	0	29	0	15	19	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757615	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900757705	0	0	0	0	0	0	0	16	0	0	27	0	0	0	49	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	54	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900758375	0	0	2053	0	0	0	0	0	0	0	0	0	25737	0	0	0	2374	1695	0	0	0	0	751	0	1059730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13524	0	0	0	3665	0	0	0	0	1669	0	0	0	0	0	0	0	0	11903	0	0	0	0	0	0	0	3079	0	0	0	0	4804	3233	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900758845	7934	6765	5952	0	3965	11163	33498	72723	3292	1005	1653	0	48628	6612	49552	0	5270	4218	0	3759	16210	0	3557	1956	98933	15821	22266	1521	0	0	8770	13402	0	0	0	5836	1796	0	103916	14224	0	28460	13665	0	0	8657	6115	7852	0	34357	5892	16822	37324	0	0	0	13242	10489	2875	3634	2714	0	0	2452	0	23199	1976	0	13427	0	0	0	0	19693	20255	15547	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900758885	32	0	0	23	0	0	0	0	0	0	0	0	75	21	0	0	16	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	162	0	0	0	31	0	0	0	13	0	0	0	0	0	16	129	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900759045	25	0	0	23	0	0	0	0	0	0	0	0	16	0	0	0	11	0	0	0	0	0	0	0	280	0	0	14	0	22	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900759335	749	354	61	12	313	346	1692	564	273	403	53	1030	464	688	403	0	602	162	0	1438	309	0	339	660	333	271	441	894	192	202	154	1128	0	0	0	113	147	51	457	831	142	443	314	25	134	465	211	256	0	423	94	1557	411	0	0	3165	203	879	346	195	296	10	0	379	34	296	55	0	143	79	0	206	0	168	33	576	651	27
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900759435	17	276	0	15	0	0	20	0	0	0	52	0	280	13	13	0	104	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	21	0	0	0	0	0	21	1736	0	0	0	0	17	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	28	0	0	23
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900759565	2044	3221	0	0	0	0	0	0	0	0	0	3123	2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5911	0	0	0	0	0	0	0	0	0	0	0	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900760215	0	0	0	0	0	0	0	14	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	37	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	15	0	12	0	0	0	0	0	0	22	0	0	39	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900760245	0	0	0	0	113	0	1462	4649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4541	3209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2284	0	0	0	0	0	0	0	0	0	2459	7050	0	0	8104	0	0	0	0	0	0	0	5813	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900760325	0	0	0	0	0	0	0	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	42	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900760905	25	50	42	0	24	67	22	32	24	16	0	32	33	13	22	0	42	53	0	0	0	0	41	0	0	30	39	16	63	24	11	14	33	0	0	46	0	17	0	69	149	25	100	11	28	0	46	0	0	414	41	157	40	0	0	44	79	0	235	0	68	17	36	32	14	18	0	0	0	0	60	21	0	12	0	0	0	26
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761035	0	0	0	0	0	0	10	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	12	48	0	25	0	0	0	0	0	0	0	28	0	0	32	0	0	0	0	0	0	38	0	18	0	0	0	22	11	26	124	32	0	34	0	16	0	10	0	0	0	0	0	28	0	25	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761085	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	93	0	0	0	115	19	0	0	0	12	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	61	257	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761145	0	0	0	0	0	0	0	0	0	0	0	0	15	0	49	0	47	12	0	0	225	0	0	0	41	0	0	66	0	146	24	0	0	0	0	0	0	0	16	0	0	0	12	0	0	0	54	0	0	23	0	72	0	0	0	0	0	523	20	0	52	0	0	148	0	0	0	0	12	0	0	27	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761155	26	0	0	0	18	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	13	0	0	0	0	37	15	23	0	0	16	0	0	0	0	0	0	0	22	66	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761615	34	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	0	0	0	0	0	0	0	92	0	0	0	0	22	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761945	0	0	0	0	0	90	11	0	0	0	0	10	0	24	27	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	402	28	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900761995	8980	0	0	0	0	0	0	0	0	0	1025	0	0	0	0	198	0	18173	0	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0	0	0	0	0	70850	0	0	0	0	0	0	2005	0	0	0	0	0	0	0	0	0	2138	0	876	0	0	1748	0	3879	0	0	0	0	11879	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900762015	3187	0	1952	0	0	2341	0	17188	0	450	0	8860	0	485	11242	2864	6482	0	0	12303	0	0	262	0	6375	0	0	1722	728	15550	1291	452	0	0	0	0	1242	0	0	22067	0	0	2019	0	309	1583	2299	0	0	2534	2687	3655	12589	0	0	0	16992	21926	3348	0	1391	5289	0	0	236	2142	0	1073	75718	236	0	0	0	3289	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900762325	0	10	20	0	51	0	49	131	0	0	0	0	127	0	0	0	109	37	0	0	0	0	0	0	0	0	0	77	0	115	0	0	0	0	0	0	0	0	0	38	0	28	0	0	19	0	34	0	0	0	45	38	0	0	0	22	109	0	16	11	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900762345	0	0	0	0	0	27	0	0	0	0	59	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	58	0	12	0	20	0	0	0	0	0	0	0	0	0	65	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900762355	1017	0	97	32	0	0	0	0	0	0	0	0	16	0	0	0	15	0	0	0	0	0	0	0	10	0	27	0	14	0	17	0	16	0	0	0	0	0	10	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	22	0	0	0	0	11	0	0	0	0	19	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900765115	0	27	24	0	0	12	0	207	29	158	0	0	54	13	0	0	136	0	0	0	15	0	0	191	131	11	0	0	18	642	0	0	0	0	49	10	0	51	86	0	0	87	13	0	0	125	11	11	0	0	0	398	0	0	0	104	11	101	0	101	0	0	0	94	0	0	0	0	190	252	54	11	78	0	0	17	0	14
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900765185	132	73	48	39	42	0	24	53	36	297	19	259	155	342	0	0	64	36	0	0	85	0	0	85	14	12	0	139	0	100	64	50	94	0	37	15	99	64	181	178	0	152	30	0	615	220	0	18	0	292	0	421	0	0	0	679	21	0	206	100	329	0	0	64	0	49	0	10	285	242	36	24	53	0	14	154	86	53
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900766165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	21	52	0	0	16	0	22	10	0	0	0	24	0	12	0	0	0	0	22	0	0	0	14	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900767675	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	84	0	0	0	0	14	0	0	0	0	0	0	0	16	0	0	27	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900768265	47	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	12	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp900768795	0	38	0	0	0	0	0	0	0	0	0	0	40	23	0	14	27	0	0	0	0	0	0	0	0	19	0	15	0	0	0	37	0	0	0	0	0	0	0	0	0	91	37	0	0	0	25	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_sp902362275	0	76	0	0	0	0	0	479	0	0	0	24	11	0	10	0	0	16	0	0	0	0	0	0	0	0	30	0	0	13	0	0	0	0	0	0	0	0	13	21	0	0	35	0	0	13	70	10	0	0	110	0	6845	0	0	0	0	56	12	0	15	0	0	0	0	0	0	0	17	0	0	10	0	2399	0	0	11	0
