	ERR9578157	ERR9578158	ERR9578159	ERR9578160	ERR9578164	ERR9578165	ERR9578166	ERR9578167	ERR9578168	ERR9578169	ERR9578170	ERR9578174	ERR9578175	ERR9578176	ERR9578177	ERR9578187	ERR9578188	ERR9578191	ERR9578192	ERR9578194	ERR9578195	ERR9578196	ERR9578197	ERR9578198	ERR9578200	ERR9578201	ERR9578203	ERR9578204	ERR9578205	ERR9578206	ERR9578207	ERR9578209	ERR9578211	ERR9578212	ERR9578213	ERR9578218	ERR9578219	ERR9578220	ERR9578221	ERR9578224	ERR9578225	ERR9578226	ERR9578227	ERR9578228	ERR9578231	ERR9578232	ERR9578234	ERR9578235	ERR9578236	ERR9578238	ERR9578242	ERR9578243	ERR9578244	ERR9578248	ERR9578250	ERR9578251	ERR9578253	ERR9578254	ERR9578257	ERR9578267	ERR9578268	ERR9578270	ERR9578285	ERR9578295	ERR9578301	ERR9578302	ERR9578303	ERR9578305
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0	0	0	16	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	68101	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	11	53080	0	0	0	0	0	11361	0	0	14	0	0	0	0	0	0	50298	11	0	0	0	0	0	0	0	0	0	0	0	0	18838	0	0	0	0	12	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_legallii	0	114	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	0	1590	206	0	1866	0	1247	0	14	0	0	0	0	0	301	0	0	3828	0	0	0	0	29	0	0	0	0	166	0	552	0	0	0	0	0	0	41	0	0	10	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	12	0	0	22	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger_A	0	156	0	0	147	0	112	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	11	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp002159665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900319575	0	0	0	0	0	0	0	0	0	0	0	24652	0	0	0	0	0	51	0	0	12	0	0	0	0	9892	0	0	0	21180	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	23028	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900540515	0	0	0	0	0	0	0	0	35	12	0	0	0	0	14	0	0	0	0	0	68	0	0	0	0	0	0	0	119	14	0	0	0	0	13	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	51	0	0	0	0	0	30	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900546145	29	0	0	0	0	0	0	0	0	0	0	2875	0	0	0	0	0	11	0	0	0	11	0	0	0	1078	0	25	0	2139	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	29	0	0	0	3931	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_sp900547595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000002687	0	339	0	0	414	0	156	0	0	0	0	0	0	0	0	0	0	1011	0	0	0	0	2337	0	0	0	0	0	0	99	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19852	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004670	0	0	0	0	0	0	0	12	25	0	0	0	0	16	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	37	17	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004701	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	61	0	0	0	130	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__MGYG000004901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__MGYG000000566	0	18	0	0	0	0	0	0	0	40	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	47	0	43	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	14	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__MGYG000003918	0	15	24	22	0	22	0	0	18	14	0	0	0	0	0	0	11	15	0	19	45	0	0	19	0	17	15	49	0	0	0	19	0	0	0	0	0	16	0	15	32	0	94	0	0	0	41	0	0	37	18	0	0	0	37	0	48	0	0	0	85	12	44	21	13	14	53	26
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__MGYG000004649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__MGYG000004659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__MGYG000004750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella_sp003150275	0	27	14	0	36	0	137	0	45	13	0	14008	0	0	18	0	0	3892	0	12	43	0	0	0	49	0	0	24	38	4809	0	0	0	0	21	0	0	0	11	24	0	0	0	16	12	0	0	21	0	0	12	0	0	18	0	0	0	0	18	0	0	0	0	39	56079	14	30	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella_sp900541395	13	484	4612	0	1918	811	272	0	11445	0	0	0	0	0	5098	54	0	0	0	4875	29	3289	0	0	9116	0	0	7229	1109	0	0	0	23	0	0	0	1055	1397	5456	0	1760	0	0	3725	4313	0	23	8389	1058	0	450	3503	0	12235	0	0	0	0	0	0	43	2650	0	1137	40	6122	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella_sp900553065	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0	587	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	613	0	0	0	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Mailhella|s__Mailhella_sp900555975	0	0	18	36	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	23	0	25	0	0	0	18	17	29	0	66	0	28	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	27	0	0	0	0	0	23	22	0	0	0	10	0	0	22	0
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Nitratidesulfovibrio|s__Nitratidesulfovibrio_vulgaris	0	0	0	0	11	79	0	15	317	0	0	27	0	0	0	40	0	0	0	0	0	10	0	0	0	0	0	0	56	0	0	28	0	0	0	13	0	0	36	0	0	0	0	0	65	10	0	0	19	0	10	17	0	0	13	10	0	20	155	0	0	10	0	0	0	0	54	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__CADBRU01|s__MGYG000001768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__UBA1174|s__UBA1174_sp900556855	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__UBA1436|s__UBA1436_sp002329395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__UBA1436|s__UBA1436_sp900541355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
k__Bacteria|p__Eremiobacterota|c__Xenobia|o__Xenobiales|f__Xenobiaceae|g__Bruticola|s__Bruticola_sp004554425	20	35	0	0	0	0	0	214	355	0	79	0	0	0	120	19	121	0	0	19	0	15	0	0	14	0	272	0	0	0	0	0	0	33	10	122	0	31	65	45	11	195	0	0	25	0	397	0	70	0	64	0	138	40	171	22	117	69	0	60	0	53	37	0	73	116	0	103
k__Bacteria|p__Eremiobacterota|c__Xenobia|o__Xenobiales|f__Xenobiaceae|g__Bruticola|s__Bruticola_sp900772775	0	45	19	63	0	82	0	0	19	0	20	41	120	0	14	48	61	0	0	18	0	11	0	72	0	37	0	0	0	0	17	25	0	0	28	0	20	29	13	0	63	25	0	57	0	106	20	72	39	0	14	12	0	12	36	15	60	56	0	0	12	18	0	0	0	0	0	33
k__Bacteria|p__Eremiobacterota|c__Xenobia|o__Xenobiales|f__Xenobiaceae|g__Bruticola|s__MGYG000002669	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	10	152	0	0	0	0	0	0	169	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter_A|s__Fibrobacter_A_intestinalis	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	44	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	50	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__Borkfalkia_ceftriaxoniphila	1617	948	1342	0	0	170	0	9203	1198	9509	0	5429	0	8897	2441	0	2753	818	12857	3114	0	5081	1572	3171	553	0	0	1242	73	318	75	3543	0	0	33	6487	17	0	2352	0	0	0	2441	711	749	0	16	0	0	0	5809	81	0	2710	0	3825	0	0	99	567	0	766	0	3030	3010	0	6161	1412
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__Borkfalkia_sp900557285	194	0	0	0	84	0	0	0	0	351	0	0	0	0	0	0	0	0	35	105	0	0	158	126	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	19	140	0	0	0	0	15	0	0	0	0	34	0	0	0	0	0	437	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__Borkfalkia_sp900761665	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	16	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	1569	0	27	0	0	0	0	0	0	0	0	71	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__Borkfalkia_sp900761675	0	0	79	0	0	0	0	0	0	105	0	31	0	0	14	0	0	0	0	236	0	0	0	0	0	0	0	0	102	0	0	0	0	493	15	0	0	0	0	0	49	0	0	0	174	0	0	0	0	0	0	0	0	219	0	0	0	0	0	32	0	0	0	11	10	45	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000000676	0	56	53	0	0	0	0	0	0	89	0	0	0	28	0	0	0	0	14	11264	0	0	0	11	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	19	0	0	13	3585	0	0	0	0	0	0	0	0	75	0	63	0	0	0	103	0	0	0	861	0	37	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000000733	0	0	38	0	14	0	0	0	0	31	0	19	0	0	0	0	11	99	130	338	0	0	0	0	935	0	0	0	60	86	0	0	14	0	29	0	0	0	0	0	46	0	12	0	212	0	0	17	0	0	53	136	0	89	0	0	0	0	0	13	0	125	0	0	20	247	57	11
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000001844	0	0	42	0	922	29	15	0	0	3062	13	37	0	15	59	0	0	0	135	46	0	101	12	35	69	0	0	21	34	0	0	0	0	0	0	0	0	0	0	0	73	19	46	40	26	0	0	64	30	0	22	0	0	39	0	0	0	0	46	18	0	0	0	0	68	15	23	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000002624	0	0	124	0	0	0	132	0	0	563	34	273	0	95	36	0	0	0	10146	941	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	165	153	0	0	307	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	227	588	184	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000002678	205	0	240	0	449	0	0	0	0	278	0	137	0	0	209	0	0	0	3106	1832	0	0	0	0	293	0	0	0	839	0	0	0	0	33	2764	114	0	0	0	0	300	0	1243	0	2788	0	0	470	0	0	0	0	0	4313	0	0	0	0	0	607	0	0	0	226	33	440	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000003934	0	18	145	207	453	0	19	0	0	41	0	0	0	165	103	0	0	46	11	1567	0	0	16	0	500	206	0	20	218	0	0	0	0	0	275	10	0	0	0	0	68	90	121	25	490	0	0	309	18	0	10	61	0	1336	0	0	0	15	106	12	0	0	0	234	45	21	32	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000003953	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	41	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__Borkfalkia|s__MGYG000004020	0	0	3616	0	59	0	479	0	0	37	0	122	0	11	39	0	0	0	31	116	0	0	0	0	0	0	0	313	179	208	0	0	0	0	0	0	16	0	0	0	342	0	0	10	31	0	0	0	0	0	619	18	0	38	0	0	0	0	0	132	0	0	0	0	0	664	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__HGM11412|s__HGM11412_sp900770185	11	0	0	0	22976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__HGM11416|s__HGM11416_sp900766495	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__HGM11416|s__HGM11416_sp900768525	31	48	0	0	0	137	0	0	0	51	0	0	0	0	32	0	0	0	0	73	0	25	0	0	12	29	0	0	0	47	0	0	0	0	102	0	0	0	0	0	0	0	804	0	133	0	0	12	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	65	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__MGYG000000399|s__MGYG000000399	0	0	0	0	23	436	13	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	74	12	0	0	0	0	47	0	0	0	51	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	72	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__MGYG000004445|s__MGYG000004445	0	13	0	0	85	18498	1325	0	0	0	0	44	0	0	0	0	0	11	0	22	0	353	21	51	0	70	0	91	0	0	0	71	0	0	0	44	0	0	0	0	0	16	10	314	78	0	0	788	0	0	0	19	0	0	0	0	0	0	94	0	0	0	0	33	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__QALS01|s__MGYG000001914	0	0	0	12	16	10	192	0	24	0	0	0	59	0	54	0	0	0	0	40	0	0	0	15	0	10	0	0	369	49	0	0	0	17	0	0	0	10	0	0	29	0	28	0	24	0	46	0	0	0	0	0	0	186	0	3435	45	10	4759	223	0	11	0	3493	19	22	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__QALS01|s__QALS01_sp003150575	16	129	6079	1318	1493	2890	84	0	3367	1021	0	2146	0	4225	1646	0	961	1027	7653	927	0	20748	156	821	10934	1455	0	5902	226	0	1090	149	1664	10	7698	2375	0	0	44	0	47	25	12651	1127	916	0	0	145	0	0	0	881	0	28797	0	2087	202	43	94	428	0	11830	0	188	116	13	1327	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__QALS01|s__QALS01_sp900552625	311	56	97	3311	344	3725	2842	0	24	3830	0	10999	216	121	1520	0	17	2412	208	2461	0	4791	340	756	8553	3853	0	4775	150	427	1341	13846	8297	5134	2002	16996	24	49	36	20	1266	30	53	8605	15898	0	31	67	68	0	1841	5485	0	1922	0	1819	0	31	4274	1763	0	851	24	53	1292	20	1921	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__QALS01|s__QALS01_sp900555925	461	920	8602	785	1216	1452	92	0	0	1288	527	3407	794	18854	23	11	2869	1435	594	677	0	14398	702	3676	112	75	0	800	1240	194	66	2944	45	19	19	9219	59	10	1618	0	551	12104	59	2705	349	0	0	42	9105	0	1386	32	0	242	0	1303	735	3105	89	556	0	2192	0	43	1383	1239	1163	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__QALS01|s__QALS01_sp900769545	0	0	0	0	10	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__MGYG000002654	0	0	0	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__MGYG000004310	26	159	27	0	0	125	0	0	0	11	0	14	0	0	0	0	0	0	0	44	0	15	39	0	77	107	0	21	0	0	0	0	0	0	0	23	0	0	52	0	0	15	41	0	42	0	0	19	0	0	0	14	0	0	0	0	0	0	19	0	0	19	0	78	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__UBA10281_sp000437515	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	23	0	0	0	45	0	23	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__UBA10281_sp900548285	262	75	14	0	47	31	0	0	0	0	0	0	0	0	74	0	0	0	16	11	0	0	0	0	128	23	0	17	0	88	0	0	24	13	16	0	0	0	273	0	0	0	407	0	1496	0	0	16	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	638	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__UBA10281_sp900554485	0	671	0	0	210	4140	0	0	0	102	0	0	0	0	330	0	0	0	89	31169	0	1407	0	0	1024	0	0	0	0	15	0	0	0	0	24198	0	0	0	3069	0	0	0	0	0	598	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2918	0	0	0	0
k__Bacteria|p__Firmicutes_A|c__Clostridia_A|o__Christensenellales|f__Borkfalkiaceae|g__UBA10281|s__UBA10281_sp900556195	18	0	11	0	1097	84	11	0	0	0	0	0	0	0	0	0	0	0	125	225	0	15	0	0	45	175	0	0	191	21	0	0	0	0	1167	17	0	0	52	0	0	0	77	0	154	0	0	520	0	0	0	0	0	128	0	25	0	0	95	56	0	62	0	125	0	10	0	0
