	ERR9830061	ERR9830063	ERR9830064	ERR9830066	ERR9830067	ERR9830069	ERR9830070	ERR9830072	ERR9830073	ERR9830075	ERR9830076	ERR9830078	ERR9830079	ERR9830081	ERR9830082	ERR9830084	ERR9830085	ERR9830087	ERR9830088	ERR9830090	ERR9830091	ERR9830093	ERR9830094	ERR9830096	ERR9830097	ERR9830099	ERR9830100	ERR9830102	ERR9830103	ERR9830105	ERR9830106	ERR9830108	ERR9830109	ERR9830111	ERR9830112	ERR9830114	ERR9830115	ERR9830117	ERR9830118	ERR9830120	ERR9830121	ERR9830123	ERR9830124	ERR9830126	ERR9830127	ERR9830129	ERR9830130	ERR9830131	ERR9830132	ERR9830133	ERR9830134	ERR9830135	ERR9830136	ERR9830137	ERR9830138	ERR9830139	ERR9830140	ERR9830141	ERR9830142	ERR9830143	ERR9830144	ERR9830145	ERR9830146	ERR9830147	ERR9830148	ERR9830149	ERR9830150	ERR9830152	ERR9830153	ERR9830154	ERR9830155	ERR9830156	ERR9830157	ERR9830158	ERR9830159	ERR9830160	ERR9830161	ERR9830162	ERR9830163	ERR9830164	ERR9830166	ERR9830167	ERR9830169	ERR9830170	ERR9830172	ERR9830173	ERR9830175	ERR9830176	ERR9830178
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900553965	0	85	0	0	34	0	0	14	0	44	0	0	0	0	539	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0	0	20	0	0	0	0	0	20	63	0	0	0	0	19	0	0	0	25	25	23	0	17	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	24	12	0	0	0	0	0	0	0	11
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554045	153	16	0	0	0	69	0	371	0	0	16	0	0	122	0	58	10	30	138	47	15	0	15	0	24	0	0	89	36	44	28	73	0	15	0	740	0	132	0	140	16	0	0	0	634	0	23	56	0	0	0	11	49	0	0	0	0	0	15	0	150	0	0	221	21	0	19	0	25	0	0	0	32	0	0	0	82	25	24	146	0	749	49	11	55	0	21	0	62
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554545	721	409	0	1805	0	0	666	1374	1061	78	121	525	0	0	100	52	419	166	0	0	1065	0	139	156	325	0	0	816	71	0	301	58	653	10112	182	0	406	181	305	0	342	984	489	0	479	1696	478	165	494	939	4148	1457	246	69	3853	432	0	0	4173	966	668	0	1185	290	561	0	0	438	872	0	129	0	0	167	1034	337	404	600	251	1016	0	49	329	599	1804	604	0	0	282
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900554695	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	11	0	28	14	0	0	0	0	0	0	0	0	11	0	15	0	0	0	0	0	0	0	35	23	14	15	0	0	0	0	0	0	0	0	16	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900555035	18836	15	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	251	360	0	0	0	26	0	0	0	0	0	7522	4331	0	0	79	0	0	0	4924	0	95	0	2687	0	0	60	40	0	0	48	12	23	0	0	14	1799	10389	41	621	11	301	0	0	0	0	0	0	0	0	3125	0	0	492	0	0	24	0	48	0	0	0	0	0	0	52	2209	0	0	0	855
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556275	540	77	11	106	0	0	0	49	93	51	34	79	75	0	0	31	146	229	0	48	0	0	0	34	0	0	40	103	101	0	80	0	0	0	0	0	0	0	95	290	0	52	0	0	117	74	76	35	0	270	0	100	214	151	22	30	45	0	72	112	60	0	70	0	48	0	39	73	56	251	0	14	18	0	55	0	108	169	64	67	0	0	255	22	68	57	30	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556395	3660	964	3126	96	0	0	143	18	739	293	1056	14	68	294	39	319	62	20	146	87	32	23	0	1716	10	10	0	38	224	1556	5257	0	485	690	14	99	105	1068	0	550	559	377	0	132	214	29	16	10	102	0	158	283	0	89	871	1236	314	141	99	218	0	34	12	0	42	0	65	85	337	27	0	508	32	59	99	0	111	12	183	105	152	327	118	2512	489	818	515	0	280
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556795	502311	0	0	0	0	0	0	0	12623	0	0	607	0	0	0	22717	305	0	13975	23048	875	0	0	1850	0	0	0	1058	0	1232698	295237	0	1381	2853	0	0	409	200935	0	28821	0	176036	0	0	4482	0	0	0	8668	559	2570	0	541	0	118211	975636	3478	44600	976	21457	0	0	0	0	0	0	0	0	130635	0	0	58133	0	0	2145	845	9073	1689	0	0	0	0	224	1431	176983	0	0	0	97256
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900556825	636	0	0	0	0	0	0	0	1877	15	0	0	0	0	0	0	0	23	99	772	0	0	132	0	0	0	0	0	0	133	0	0	0	0	495	0	0	45	0	113	0	33	0	0	159	0	33	0	0	0	0	0	0	39	32	47	0	24	0	26	0	0	0	0	0	0	0	0	0	0	0	43	89	0	86	0	86	0	94	0	0	0	39	75	261	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900557255	9965	15	0	0	0	0	15	0	179	0	0	373	0	19	19	28560	51	0	16317	14470	44	0	0	0	0	0	0	17	0	261461	418112	11	0	174	130	69	171	250938	0	1929	0	221681	0	0	101	0	0	0	13470	0	1291	35	12	0	177449	1245778	5735	62455	0	29335	0	0	0	0	0	0	0	0	189526	12	0	72597	12	0	4143	0	8408	0	0	0	13	0	0	6202	108058	0	10	74	157223
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900557405	201	0	0	0	0	0	0	0	1612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	18	0	102	28	0	0	11	0	0	38	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	11	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	187	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900762125	103	28	37	58	0	0	107	12	237	19	0	20	0	32	0	28	0	15	19	32	19	0	0	70	11	13	0	40	27	284	224	0	0	62	0	85	0	294	0	0	0	176	0	0	0	22	54	0	11	38	0	0	0	0	202	1009	16	44	32	64	12	0	0	0	0	0	0	10	178	13	0	56	26	0	12	0	0	69	0	0	0	0	0	31	86	80	82	0	146
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900765465	36841	24	0	49	0	0	0	0	0	117	19	40	16	0	59	181	0	15	202	274	70	10	17	0	41	10	0	0	0	11731	2479	26	38	16	0	13	117	3040	0	100	0	503	0	0	93	19	36	0	54	0	26	13	0	0	601	13964	77	170	20	66	10	0	0	0	0	50	0	0	2046	0	0	136	12	39	19	159	31	25	0	17	41	10	51	37	1634	0	0	679	1656
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900767615	91391	0	0	0	0	0	0	0	128	0	0	17	0	0	0	654	0	0	440	189	15	0	0	0	0	0	0	0	0	10598	4189	0	0	31	0	0	0	3249	0	560	0	4877	0	0	58	0	0	0	84	0	22	0	0	0	1618	13231	74	774	0	334	0	0	0	0	0	0	0	0	3629	31	0	1699	61	0	36	0	136	0	0	0	0	0	0	104	2803	0	0	0	1355
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900769055	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1675	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900769275	23	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	133	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	40	299	0	0	0	62	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	18	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770025	0	0	0	0	0	0	0	0	74	20	0	10	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770395	12	0	0	0	0	0	0	28	0	23	0	0	0	0	0	45	30	31	0	16	40	0	0	26	0	0	0	0	0	0	0	0	182	19	0	86	0	17	35	0	13	0	0	282	0	283	0	40	0	0	0	155	0	0	22	0	15	0	120	0	39	0	21	73	13	0	0	0	0	24	0	0	78	41	0	0	0	0	21	0	43	0	13	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900770845	49	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900771975	1785	90	58	89	0	0	29	0	2029	0	0	0	0	0	0	0	0	0	58	391	93	25	98	0	0	10	0	46	0	629	212	0	0	21	116	0	41	90	29	249	0	46	0	0	24	0	0	0	12	39	66	0	0	0	251	1030	0	144	0	207	0	0	23	0	89	0	0	0	35	0	0	108	14	0	13	0	53	0	0	0	14	0	133	64	559	0	94	0	184
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_sp900772835	66	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	86	11	0	0	0	0	0	13	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_stercorea	48714	90	24	24	0	54	68	31	1423	30	18	534	17	20	0	17	32	0	56	119	51	105	72	107	0	0	19	35	19	433	685	95	94	239	149	0	42	482	35	134	84	74	0	0	23	698	29	24	11	43	636	23	57	0	646	464	27	73	625	0	22	12	35	16	28	0	15	11	29	10	19	48	30	0	0	0	82	3863	33	33	38	0	369	89	355	0	94	0	214
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella|s__Prevotella_timonensis	53	0	0	0	0	0	0	0	43	20	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	119	0	24	0	29	0	0	29	0	0	13	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	41	11	304	0	0	0	206	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4334|s__MGYG000000682	137	0	0	0	0	0	0	0	35	0	0	0	39	0	0	13	0	0	12	0	0	0	0	511	0	0	0	320	0	369	14	0	116	0	0	0	0	0	0	14	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	301	88	0	285	0	0	0	0	0	0	0	32	0	0	0	0	59	0	0	0	82	0	488	0	0	0	0	0	439	81	0	0	0	10
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__MGYG000003470	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	28	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__UBA4372_sp900543815	0	0	0	0	0	0	0	0	27774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA4372|s__UBA4372_sp900766785	0	0	0	62	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6382|s__UBA6382_sp900557555	317	31	30	21	0	0	0	51	74725	0	0	48	996	30	0	0	18	12	37	40	41	16	29	78	0	0	10	13	0	34	310	62	0	73	87	16	0	52	0	24	16	25	0	0	39	12	0	47	35	17	60	17	80	92	217	41	0	0	31	58	24	0	31	0	26	0	34	0	0	21	0	0	0	0	0	23	16	21	23	71	14	0	16	17	50	21	0	0	81
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp003150315	8305	148	0	0	0	0	0	51	59	75	0	51	14	0	1075	35	0	0	12587	958	116	0	144	0	24	0	73	254	0	0	16	0	0	93	80	0	0	36	0	68	0	12	0	0	21	0	0	0	0	0	0	0	196	168	0	12	0	596	15	20	69	0	107	0	0	0	0	28	39	495	0	0	31	838	39	0	163	225	41	0	52	0	36	33	29	0	0	0	107
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp900550635	18	115	16	41	0	60	0	0	13	15	0	0	20	27	131	0	24	11	13	16	122	0	34	51	0	24	14	22	0	0	12859	122	0	29	0	0	0	13	149	11	47	0	0	25	0	120	20	21	35	48	7941	61	17	20	0	0	41	140	19	0	62	0	22429	0	15825	0	0	12	0	18	0	0	10	70	0	0	46	46	0	70	32	0	14	0	19	30	0	0	11
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__UBA6398|s__UBA6398_sp900555645	43	27	0	92	0	73	0	10	0	32	80	133	0	0	0	0	171	101	0	118	229	115	147	10	16	35	29	160	74	0	0	0	0	13	78	94	37	191	0	22	92	67	0	91	50	146	202	0	0	0	0	0	0	0	10	0	80	10	0	0	0	0	0	32	87	0	0	122	81	0	0	65	0	0	96	0	25	55	16	0	0	45	0	13	115	264	0	0	115
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	128937	168050	37883	108955	21	7242	0	7610	25106	129381	262953	180580	97170	113	209	111269	106402	98761	201149	106966	0	195753	276	24832	111	38	16	49891	0	14770	224650	115	20237	65	130	55	36	131	158792	60082	35	84370	2586	0	198499	498464	1778	110307	94	569	24809	160613	42	173289	0	87520	62315	0	333717	151640	89089	6430	0	66	28351	0	75237	133348	88098	155204	0	55852	39	0	67409	146	168728	156732	99507	343278	1279	29	29659	33721	95451	120309	0	212	89554
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp002159975	22	0	0	19	0	0	0	0	0	25	12	0	22	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	56	0	0	12	0	0	28	10	289129	10	0	0	0	44	0	26	11	0	0	0	51	34	17	0	0	0	0	0	13	31	16	11	0	0	0	0	11	0	12	20	38	11	0	0	13	0	16	25	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp003150885	0	88	35	0	61	1892	1237	15	15	0	0	18	3435	22	0	11	34	14	0	0	56	11	19	146	0	11	0	26	0	12	0	17076	326	12	0	0	0	13	89	0	33	0	75	63	0	90	1997	51	20	45	16	18	20	14	63	0	38	57	29	0	51	26	12	0	0	26	13	0	0	0	0	0	0	29	60	0	23	39	12	0	39	0	52	0	12	36	55076	0	33
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900538555	34	0	414	13	0	0	0	9978	0	18	23	0	81	13	0	0	0	30	13	0	15	0	0	32	10	10	0	12	0	10	0	13	26	0	0	35	0	32	0	0	15	0	0	85	38	76	26	0	0	0	70	40	0	21	0	0	35	0	49	0	40	19	40	0	0	0	0	0	0	15	0	0	0	0	0	0	15	51	0	22373	0	0	10	0	43	0	24	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900538705	0	15	40	0	0	0	0	36	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	13	0	0	13	0	0	0	0	18	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	39	0	534202	52	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp900542255	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	15	0	0	79	0	0	0	0	0	0	0	33	0	0	0	0	0	0	11	0	0	0	0	0	0	0	17938	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_fastidiosus	190	438	35877	17	20	26	0	472	73	41	48	40	72	0	218	2291	65	8318	1093	161	34	170	181	3563	36	176	269	744	804	16208	841	38	1168	0	105	24	12	35	66	229	32	1471	0	19	1639	68998	166	2183	55	50	3041	86	81	11279	127	120	15	26185	14886	2348	290	17257	15	14	17	17	8388	36797	1019	13	35	70	315	165	2044	1516	911	38159	4411	7237	38	13432	6040	1109	22994	92	109	0	1414
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_secundus	23	1832	99	0	0	16	0	1508	0	108	18	1322	0	88	44	2488	2443	10	20	178	120	13	92	12	0	58	18	38	0	374	922	858	71	0	133	56	32	245	0	1271	52	73	0	40	53052	524	0	194	6656	29	0	2785	264	5736	130	49	0	19	35	794	0	19	0	41	40	118	10	0	364	23	0	28	11	78	30	0	0	348	3671	3113	27	2777	1113	10	2314	41	24492	0	131
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__Coprobacter|s__Coprobacter_sp900545915	185	150	1356	123	0	0	53	48	253	178	134	110	538	98	53	81	119	248	137	94	93	633	13	452	15	103	32	63	237	622	153	233	513	35	559	51	23	21	61	38	190	98	0	32	262	2249	81	273	355	0	571	37	533	392	365	37	114	1043	176516	389	54	567	441	0	19	50	283	1096	1001	162	0	46	71	245	44	112	88	1512	195	467	34	419	216	44	858	468	257	0	140
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Coprobacteraceae|g__MGYG000004443|s__MGYG000004443	39	17	12	16	0	34	0	20	21	217	0	110	0	0	0	0	0	46	117	0	125	0	124	45	0	554	30	22	0	10	47	24	388	0	12	0	0	0	0	13	0	0	0	0	102	0	874	10	0	0	0	171	0	0	0	0	27	0	0	15	154	19	66	0	17	0	11	41	62	26	0	0	46	0	11	0	28	0	34	0	0	11	49	26	0	28	0	0	59
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_capnocytophagoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	0	0	0	0	0	0	0	0	0	0	34	0	0	0	38	0	17	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_gadei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_mossii	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__Dysgonomonas_sp900556485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas|s__MGYG000003338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Fermentimonas|s__Fermentimonas_caenicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp002633315	0	0	0	0	0	0	0	218	0	0	0	345	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	11	15	14	0	13	0	0	0	0	0	0	0	0	0	0	0	0	11	16	153	14	50	0	0	0	901	0	10	0	56	0	0	0	39	0	0	0	0	0	0	32	25	0	0	0	105	62	0	66	10	16	0	81	92	0	17	21	74	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp900542475	0	0	0	0	0	0	0	0	69	0	0	63	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	78	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	36	0	0	0	292
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__F082|g__F082|s__F082_sp900769945	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_faecalis	48	302	219	417	71	0	0	37	91	228	392	90	36	0	176	124	10	19	2416	265	0	0	271	1221	404	22	0	0	0	43	7334	0	81	27	0	0	41	0	82	116	19	92	5388	0	6100	62	62	39	25	40	647	34	0	41	21	28	12	0	12	91	0	108	53	0	0	922	187	0	39	67	0	15	0	0	98	0	51	210	106	2360	33	30	55	225	132	11	0	0	7531
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Butyricimonas|s__Butyricimonas_paravirosa	2513	12780	1615	0	0	0	773	348	1063	18102	1533	6724	16504	0	5807	550	12	7858	8216	2475	11	0	18479	5233	74	525	1103	438	0	2432	1679	26	2666	2061	14	0	548	20523	286	4070	142	6630	0	0	4419	2711	1598	11179	19	270	2228	166	356	3159	10	3018	65	0	0	9584	22	0	1370	0	389	28397	22459	31249	5296	4405	0	674	304	867	540	0	408	28320	4178	14	162	360	3323	4057	4248	0	0	0	2359
