	ERR1912946	ERR1912949	ERR1912953	ERR1912957	ERR1912958	ERR1912961	ERR1912964	ERR1912967	ERR1912971	ERR1912972	ERR1912976	ERR1912979	ERR1912983	ERR1912986	ERR1912989	ERR1912990	ERR1912991	ERR1912994	ERR1912997	ERR1912998	ERR1913002	ERR1913006	ERR1913007	ERR1913010	ERR1913014	ERR1913017	ERR1913021	ERR1913025	ERR1913029	ERR1913032	ERR1913036	ERR1913037	ERR1913040	ERR1913044	ERR1913047	ERR1913050	ERR1913054	ERR1913057	ERR1913060	ERR1913063	ERR1913064	ERR1913069	ERR1913073	ERR1913076	ERR1913080	ERR1913084	ERR1913088	ERR1913092	ERR1913096	ERR1913100	ERR1913104	ERR1913108	ERR1913111	ERR1913115	ERR1913116	ERR1913119	ERR1913122	ERR1913126	ERR1913127
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG841;s__RUG841_sp900313795"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	1104	0	0	0	0	0	14444	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__RUG841;s__RUG841_sp900772035"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA1221;s__UBA1221_sp900770525"	0	0	0	0	0	102	19	0	0	0	13	0	0	19	0	45	25	0	18	0	13	0	0	0	0	95	16	24	113	18	19	0	0	0	24	0	0	0	23	0	217	0	0	0	0	0	0	106	0	17	0	61	0	0	0	0	0	49	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883_sp002103075"	0	0	0	0	78	27	0	17	0	0	25	0	16	0	0	0	0	0	0	16	0	0	0	24	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	101	0	0	0	20	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883_sp900768915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__MGYG000003666"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__UBA6984_sp003258725"	0	0	0	0	0	0	0	25	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11	0	11	0	0	12	0	17	0	0	0	0	19	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__UBA6984_sp900550295"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1477;s__UMGS1477_sp900552205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5591	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	641	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1477;s__UMGS1477_sp900553845"	0	0	37	0	30	15	0	0	0	1306	0	0	0	0	19	0	10	14	1907	0	0	614	0	48	0	67	52	10	0	79	17	0	0	0	0	0	0	0	0	44	72	0	0	19	0	13	20	23	0	14	10	16	49	82	0	17	10	0	474
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1477;s__UMGS1477_sp900761525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	194	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585;s__UMGS1585_sp900553205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585;s__UMGS1585_sp900766355"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS951;s__UMGS951_sp900547155"	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	121	0	0	0	15	81	0	0	0	28	0	0	0	0	0	0	4705	359	42	0	0	0	0	2413	0	0	0	0	0	85	0	17	0	572	0	0	0	8595	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS951;s__UMGS951_sp900547585"	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	24	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__MGYG000000385"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__MGYG000002077"	0	0	0	0	1488	190	0	0	0	0	0	78	0	0	133	0	0	10	41	0	29	0	47	58	0	12	15	0	0	0	87	0	27	81	0	184	47	0	0	0	0	43	17	0	456	20	32	60	44	13	96	24	56	0	0	31	18	37	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__MGYG000003829"	108	34	10	0	12	37	52	0	0	995	0	0	55	0	337	0	0	33	2450	0	0	0	0	123	30	118	154	19	454	87	96	21	0	0	29	0	12	0	11	116	151	25	0	417	829	18	155	49	0	19	169	76	99	39	27	130	0	0	11953
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__MGYG000003995"	29	11	25	0	47	74	18	0	0	0	0	11	30	0	33	0	0	0	34	0	0	0	0	52	74	0	14	79	25	0	39	0	0	0	0	74	0	0	0	130	13	23	0	0	0	0	38	0	0	0	91	36	58	0	0	859	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__MGYG000004841"	16	90	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	26300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	10	0	0	0	20	48	12	0	10	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111_sp002102825"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	4432	0	0	0	0	0	0	0	50	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111_sp002103105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	16	0	0	0	0	0	13	0	0	0	10364	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111_sp003258735"	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	45	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111_sp900551965"	0	0	0	0	14	70	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	263	0	0	0	0	0	0	0	21	151	20	117	0	0	0	0	0	22
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111_sp900555325"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121254	0	0	0	0	0	52	18	0	0	0	0	46	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__MGYG000000422"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__MGYG000000572"	448	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	226	0	17237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__MGYG000001678"	0	0	0	0	0	0	0	0	0	0	0	7694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	0	0	0	0	0	45	0	945	0	0	0	0	0	0	0	0	0	9318	0	968	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__MGYG000001899"	0	0	0	0	0	847	0	0	0	0	734	0	0	0	0	0	0	0	260	63	44	412	387	0	0	13	0	0	0	111	347	0	0	11	0	0	201	0	0	0	14	268	13	0	0	53	0	50	0	0	27	0	0	704	0	10	0	95	87
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp000433095"	0	0	0	0	0	0	0	36	0	0	0	111	0	0	290	0	39	0	69	41	0	0	0	194	0	0	82	12	0	0	20	0	0	37	0	23	86	0	14	0	29	0	0	14	0	131	87	0	29	0	0	0	16	57	0	0	11	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp000437435"	25	0	23	0	0	0	0	0	0	0	0	15	0	0	0	84	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	429	0	0	0	0	0	0	0	0	0	35	13	35293	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp000438175"	0	103	24	0	0	27	0	0	0	29	0	39	0	0	0	17	0	0	28	0	0	0	34	58	0	2014	0	0	0	13	29	0	0	0	48	12	0	0	0	38	33	627	0	37609	0	0	0	22	19	0	0	77	0	607	647	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp001765415"	7330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	1524	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp001917115"	0	25	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	5122	10040	0	0	0	0	0	53	0	0	0	0	0	0	0	15	19	0	0	0	1118	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900551675"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900555175"	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900556295"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	14	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900752845"	0	29	54	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	94	0	0	0	0	0	0	198	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	793	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900767135"	34	0	10	0	0	0	0	0	0	0	26	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	648	16	0	0	0	0	0	68	0	0	0	0	29	65	0	0	0	0	0	0	0	13	0	0	0	69	0	0	0	19	0
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900769355"	456	15	3082	84	0	0	0	62	0	18	237	0	143	22	202	257	57	14	86	101	18	250	0	19	14	104	49	56	23673	152	54	0	182	17	0	1502	0	0	262	143	10	130	62	619	1048	39	53	83	50	44	62	76	103	3640	50	21	0	1620	609
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1_sp900769645"	93	0	0	29	0	43	87	52	24	139	33	24	0	44	44	112	0	45	65	10	443	0	0	0	0	60	175	29	763	642	669	0	0	0	13	22	0	0	60	10	49	0	0	0	21	97	204	135	21	73	38	130	17	405	40	171	0	282	130
"k__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__MGYG000001875;s__MGYG000001875"	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	182	0	0	0	0	0	11	0	25	0	33	12	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila_sp900550745"	0	20	34	13	0	0	5375	228	26	10	17	0	0	288	311	29	0	0	62	63	28	0	0	0	22	37	108	71	82	33	12	0	0	60	28	67	104	32	101	214	0	11124	16	12918	17	83	42	11	38	10	39	0	165	45	15	17	35	11	123
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila_sp900553145"	16	102	120	47	0	0	13	0	0	165	43	0	12	96	161	43	0	0	220	86	0	0	0	0	28	82	340	197	0	55	103	0	20	243	125	155	415	190	113	474	0	34	140	51	216	121	380	0	310	24	118	10	62	205	93	58	94	0	701
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila_sp902373525"	0	1491	2122	0	0	0	1692	0	0	0	0	0	0	7417	5237	1263	0	0	14961	2777	0	0	0	0	0	2812	4624	3272	0	0	2796	0	0	3496	0	0	4989	2439	2097	6592	0	3513	1594	3465	1323	4009	2859	0	2979	0	3227	0	2233	2585	1550	0	1646	0	5789
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila_wadsworthia"	3967	7973	11055	4189	0	706	1994	0	21	9832	3567	0	1842	734	10208	7597	0	1606	12460	13800	925	0	34	0	6288	15224	22920	17320	329	1298	15225	0	808	19758	16437	19528	29809	11157	4682	37276	770	2297	8194	620	8380	20180	14377	557	15120	1228	16039	1208	4625	13242	10547	13750	8953	775	31032
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__MGYG000001832"	0	10	0	0	102	0	14	0	11	0	0	0	0	11	15	0	0	0	17	20	0	0	0	0	843	0	0	0	0	0	0	0	0	13	0	24	32	0	0	76	0	41	0	36	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__MGYG000002706"	0	29	13	19	0	23	35	0	21	30	21	0	0	4362	10	123	0	0	45	31	37	0	21	0	27	0	145	177	107	0	0	10	0	0	0	32	71	86	13	42	13	77	16	58	0	184	0	0	175	0	7368	0	64	0	14	0	97	0	10
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_desulfuricans"	0	0	0	0	0	0	0	7921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	87	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_fairfieldensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	8818	1379	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485	0	0	0	28811	0	0	0	0	0	0	0	0	0	0	12837	0	99	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_legallii"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_piger"	4020	0	0	0	0	0	3368	0	0	0	0	31	0	0	0	3281	0	18348	4177	0	212	0	0	0	0	0	0	87	346	0	0	0	0	0	1273	0	409	0	0	16	0	0	0	0	0	0	0	0	0	1064	0	473	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_piger_A"	408	0	0	0	0	0	435	0	0	0	0	3104	0	0	0	375	0	143	579	0	7734	0	0	0	0	0	0	0	53	0	0	0	0	0	69813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	50	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp900319575"	0	0	0	0	0	0	39	0	0	0	8156	0	0	0	11709	62	0	0	0	0	0	0	0	0	1979	0	372	0	4004	0	0	1426	0	0	0	0	15	0	0	0	212	0	4465	0	0	0	15754	13090	19	0	0	0	0	0	0	0	0	2357	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp900540515"	0	0	11	20	0	0	12	15	13	0	0	0	0	194	42	19	0	0	0	20	0	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	104	0	0	0	149	0	43	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp900546145"	0	0	0	0	0	0	0	0	0	0	1467	0	0	0	1321	0	0	0	0	0	0	0	0	0	247	0	21485	0	570	0	0	36133	0	0	0	0	11	0	0	19	10077	0	691	0	0	0	1933	1575	0	0	0	0	0	0	0	0	0	277	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp900547595"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__MGYG000002687"	1067	0	0	0	0	0	1001	0	0	0	0	90	0	0	0	959	0	121	1672	0	132	0	0	0	0	0	0	37	144	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	117	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__MGYG000004670"	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__MGYG000004701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	91	65	0	0	0	10	19	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__MGYG000004864"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__MGYG000004901"	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__MGYG000000566"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	10	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	15	0	17	0	0	0	0	0	0	29	0	0	0	0	0	0	29	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__MGYG000003918"	73	21	15	0	0	0	14	0	18	15	0	0	0	14	65	58	0	13	34	0	16	14	0	13	0	12	25	16	0	0	11	0	0	0	0	0	50	25	0	49	0	20	10	0	0	19	17	0	91	0	0	0	15	0	0	10	13	11	16
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__MGYG000004649"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__MGYG000004659"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__MGYG000004750"	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	5205	0	0	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
